bigg_id	KEGG	SEED
GLUCYS	R00894	
GND	R01528	
GSPMDA	R01918	
GTHOr	R00115	
GTHS	R00497	
ORNDC	R00670	
SPMS	R01920	
GTHOm	R00115	
ICDHym	R00267	
ICDHyp	R00267	
OPAH	R00251	
GTHRDH_syn	R00494	
AMPTASECGe	R00899	
GTHDH	R01108	
GTHPe	R00274	
GTHDHu	R01108	
GTHS_1	R00497	
GTHPDSOR	R03915	
APAPTm	R01920	
AMPTASECG	R00899	
APCS	R08359	
GSPMDS	R01917	
GTHPi	R00274	
GTHRDHpp	R00494	
ICDHyr	R00267	
GTHPm	R00274	
SPRMS	R02869	
TSULR3e	R01875	
G6PBDH	R02736	
PGLCNDH	R02034	
GNDer	R01528	
ASAPT	R02869	
GDR_nadp_h	R00115	
GCL	R00894	
G6PBDHh	R02736	
PGDHh	R01528	
ORDCh	R00670	
ICDHhr	R00267	
GGTAe2	R00494	
r0568	R02743	
