bigg_id	KEGG	SEED
ABTA	R01648	
ACOAD1f	R01175	
ECOAH1	R03026	
GLUDC	R00261	
HACD1i	R01975	
ACOAD1	R01171	
BDH	R01361	
MALEI	R01087	
OCOAT1	R00410	
VACOAI	R03031	
ABTArm	R01648	
ACACT1x	R00238	
BDHm	R01361	
HACD1m	R01975	
OCOAT1m	R00410	
SSALxm	R00713	
ALCD4y	R03545	
BTCOARx	R01172	
BNORh	R01172	
BTS	R03544	
BTS_nadph	R03545	
HBCO_nadp	R01976	
HBCO_nadp_m	R01976	
ACOA40OR	R01175	
PFLACTm	R00212	
ECOAH1_1	R03026	
HACD1_1	R01975	
ACACT1r	R00238	
GHBDHx	R01644	
HACD1	R01975	
MALDDH	R00215	
PFL	R00212	
SSALx	R00713	
SSALy	R00714	
KAT1	R00238	
ACACT1m	R00238	
4HBCOAH	R05337	
ALCD4	R03544	
PBUTT	R01174	
POR_syn	R01196	
AACOAT	R01357	
ACOAD1fm	R01175	
ECOAH1m	R03026	
ECOAH1x	R03026	
HACD1x	R01975	
HBNOx	R01361	
SSNOh	R00713	
ARGDh	R00261	
PFLh	R00212	
PYRShi	R01196	
HGDm	R03534	
r0179	R00714	
r0321	R01357	
