bigg_id	KEGG	SEED
ALATA_L	R00258	
ASPTA	R00355	
FBA	R01068	
ME1	R00214	
PPC	R00345	
PPCK	R00341	
TPI	R01015	
ASPTAm	R00355	
MDHm	R00342	
MDHp	R00342	
GAPDi_nadp	R01063	
PRUK	R01523	
SBP	R01845	
MDHi2	R00342	
MDHy	R00343	
ASPATh	R00355	
FBA3hi	R01829	
PPDKh	R00206	
RBPCh	R00024	
GAPDHf	R01061	
GAPDHm	R01061	
PGKm	R01512	
RPEh	R01529	
MDHf	R00342	
MDHh	R00342	
PPCKm	R00341	
FBA3	R01829	
GAPD	R01061	
MDH	R00342	
ME2	R00216	
PGK	R01512	
RPE	R01529	
ALATA_Lm	R00258	
ASPTAp	R00355	
ME1m	R00214	
ME2m	R00216	
PPDK	R00206	
RBPC	R00024	
GAPDH_nadp_hi	R01063	
MDH_nadp_hi	R00343	
PRUK_1	R01523	
SBP_1	R01845	
MDHC_nadp_hr	R00216	
GAPDHh	R01061	
PGKf	R01512	
PGKh	R01512	
TPIh	R01015	
MDH_nadp_fi	R00343	
