bigg_id	KEGG	SEED
GLGC	R00948	
TREH	R00010;R06103	
TREHpp	R00010;R06103	
UDPGPpp	R00287	
UDPGLDC	R01384	
SPP	R00805;R06211	
MALTly	R00028	
BGLA	R00306	
SGHA	R00802	
UG6PGT	R02737	
UG6PGTn	R02737	
UGE	R01385	
GLPThi	R00948	
MPL	R01555;R06040	
PGMT_B	R02728	
FFSD	R03921	
GALUi	R00289	
TRE6PH	R00837;R06113	
TRE6PP	R02778;R06228	
UDPGD	R00286	
MALT	R00028	
TREHv	R00010;R06103	
CLBH	R00306	
G1PCTYT	R00956	
MTI	R01557;R06218	
TREHe	R00010;R06103	
ADPGLC	R00951	
MALTe	R00028	
UDPGLDCg	R01384	
UDPGP	R00287	
CEPA	R00952	
SAGH	R00802	
BG_CELLB	R00306	
MAL6PG	R00838;R06115	
r0093	R00287	
