bigg_id	KEGG	SEED
DPR	R02472	
PANTS	R02473	
PNTK	R03018	
PPCDC	R03269	
VALTA	R01214	
DPRm	R02472	
PTPATim	R03035	
VALTAim	R01214	
DHPM1	R02269	
UPPN	R00905	
PNTEH	R02973	
PBAL	R02473	
BUPN	R00905	
DHPD	R02269	
APCPT	R04391	
APNPT	R02971	
PBALm	R02473	
PTPATe	R03035	
r0580	R02972	
r0614	R03269	
r0679	R04391	
r0680	R04391	
ASP1DC	R00489	
DPCOAK	R00130	
DURADx	R00977	
PPNCL2	R04231	
PTPATi	R03035	
DPCOAKm	R00130	
DURAD	R00978	
PPNCL3	R04230	
PNCDC	R02972	
DPCOAPP	R03036	
PNTKm	R03018	
APPAT	R03035	
PNORn	R02472	
BCTA_val_h	R01214	
DPCOAPPe	R03036	
PNTEHe	R02973	
r0579	R02971	
