bigg_id	KEGG	SEED
ECOAH1	R03026	
HACD1i	R01975	
AATA	R01939	
SACCD1	R02315	
SACCD2	R00715	
ACOAD1	R01171	
OXPTNDH	R02401	
APENTAMAH	R02273	
LPCOXc	R02204	
LYSAM	R00461	
1PPDCRp	R02201	
AASAD3m	R03102	
ACACT1x	R00238	
HACD1m	R01975	
SACCD3m	R00716	
ECOAH1_1	R03026	
HACD1_1	R01975	
r0450	R01939	
r0525	R02313	
ACACT1r	R00238	
HACD1	R01975	
LYSDC	R00462	
KAT1	R00238	
ACACT1m	R00238	
GLCOAS	R02402	
1PPDCRc	R02203	
AASAD3	R03102	
AOXHEXCYCL	R04175	
APTNAT	R02274	
LYSMO	R00449	
LYSRC	R00460	
BBHOX	R02397	
ECOAH1m	R03026	
ECOAH1x	R03026	
HACD1x	R01975	
LPCOXp	R02204	
LYSOXp	R00447	
PPD2CSPp	R04175	
SACCD4m	R02315	
HOLYSK	R03378	
