bigg_id	KEGG	SEED
CINNDO	R06783	
DHCIND	R06785	
DHCINDO	R06788	
HOPNTAL	R00750	
HPPPNDO	R04376	
CMCMSAD	R04418	
DHPDO	R03303	
CMHMI	R04379	
3MCAT23DOX	R04089	
4HBHYOX	R01298	
4MCAT23DOX	R05295	
4OD2	R05374	
BZ12DOX	R05621	
BZDH	R01419;R01486	
BZDIOLDH	R00813	
CAT23DOX	R00816	
CATDOX	R00817	
DH3MCHCDH	R05309	
DH4MCHCDH	R05292	
HMSD	R02762	
HMSD2	R05353	
MUCCY_kt	R03307	
OP4ENH2	R05864	
PCADYOX	R01631	
PTOLDOX	R05290	
34DHPACDO	R03303	
BCOALIG2	R01300	
BZSCT	R05588	
OCHCCH	R05594	
PICH	R05599	
3HCINNMH	R06787	
3HPPPNH	R06786	
ACALD	R00228	
MMSAD2	R09097	
3MBZALDH	R05347	
4CMLCL_kt	R03470	
4MBZALDH	R05282	
4OT	R03966	
4OT2	R05389	
HMSH2	R05865	
HOPNTAL2	R05298	
MTOLDOX	R05665	
MXMO	R05443	
OXOAEL	R02991	
PXMO	R05288	
CMLDC	R03470	
DHCINDO_1	R06788	
HPPPNDO_1	R04376	
4HOXPACMON	R02698	
BZSS	R05598	
CHDCCH	R05597	
HOCCD	R05581	
ACALDh	R00228	
