bigg_id	KEGG	SEED
23PDE2pp	R03538	
3NTD2pp	R01877	
CBPS	R00575	
CSND	R00974	
CYTD	R01878	
DCTPD	R02325	
DCYTD	R02485	
DTMPK	R02094	
DURIK1	R02099	
DUTPDP	R02100	
NDPK2	R00156	
NDPK3	R00570	
NDPK6	R02331	
NTD2	R00963	
NTD4	R00511	
NTD4pp	R00511	
NTD5	R01569	
NTP5	R00569	
NTPP3	R01668	
NTPP8	R00662	
PYNP2r	R01876	
RNDR3	R02024	
TMDPP	R01570	
TRDR	R02016	
UDPGPpp	R00287	
URIDK2r	R02098	
RNTR3	R02022	
URIDK2rn	R02098	
URIK3	R00970	
DHORTSn	R01993	
DHPM1	R02269	
UPPN	R00905	
MCSNAH	R01411	
CYTDK1	R00513	
CYTDK2m	R00513	
CYTDn	R01878	
CYTK1m	R00512	
CYTK1n	R00512	
DCK1m	R01666	
DCK1n	R01666	
NDP8ex	R00159	
NDPK2m	R00156	
NDPK2n	R00156	
NDPK3n	R00570	
NDPK4m	R02093	
NDPK6n	R02331	
NDPK7m	R02326	
NTD1m	R02102	
NTD2l	R00963	
NTD4e	R00511	
NTD4l	R00511	
NTD5m	R01569	
UMPKm	R00158	
URIDK2m	R02098	
NTP8	R02330	
NTP9	R02095	
BUPN	R00905	
DHPD	R02269	
ASPCT_1	R01397	
CDPPH	R00514	
DGTCY	R02091	
DHR	R01993	
DTPH	R02092	
DTTUP	R02097	
HCGALm	R00575	
ITCY	R00962	
UTCY	R00516	
23CN2P2	R03538	
23CN2P3	R03929	
3NUCLE2	R01877	
DCTPDPm	R01668	
DCTPDPn	R01668	
DTMPKm	R02094	
RE1860E	R03538	
r0139	R00514	
r0166	R00662	
r0331	R01414	
23PDE4pp	R03929	
3NTD4pp	R02370	
ASPCT	R01397	
CTPS2	R00573	rxn00412
CYTDH	R02137	
CYTDK2	R00517	
CYTK1	R00512	
CYTK2	R01665	
DHORDfum	R01867	
DHORTS	R01993	
DURADx	R00977	
DURIPP	R02484	
NDPK4	R02093	
NDPK7	R02326	
NTD1	R02102	
NTD1pp	R02102	
NTD2pp	R00963	
NTD3	R01664	
NTD3pp	R01664	
NTD5pp	R01569	
NTPP4	R00515	
OMPDC	R00965	
ORPT	R01870	
RNDR4	R02018	
TMDK1	R01567	
UMPK	R00158	
UPPRT	R00966	
URIH	R01080	
URIK2	R00968	
CTPS1	R00571	
DCMPDA	R01663	
NDP7	R00155	
RNDR3n	R02024	
RNDR4n	R02018	
RNTR4	R02023	
TRDRm	R02016	
UMPKn	R00158	
URIK1	R00964	
PYNP1	R02296	
ASPCTn	R01397	
CBPSn	R00575	
DCTPD2	R00568	
DURAD	R00978	
NTP7	R00159	
CYTK2n	R01665	
DCYTDn	R02485	
DURIK1m	R02099	
DUTPDPm	R02100	
DUTPDPn	R02100	
NDP6	R01667	
NDP7er	R00155	
NDP7ex	R00155	
NDP7g	R00155	
NDPK3m	R00570	
NDPK4n	R02093	
NDPK6m	R02331	
NDPK7n	R02326	
NTD2e	R00963	
NTD2m	R00963	
NTD3l	R01664	
NTD5l	R01569	
TMDK1m	R01567	
UDPGP	R00287	
DHORD_NAD	R01869	
ASPCTm	R01397	
DATCY	R01548	
DATUP	R01549	
DCTCP	R02371	
DCTUP	R02327	
DGTUP	R01880	
DTTGY	R02096	
DUTCP	R02372	
DUTUP	R02332	
TDSRh	R02016	
UTUP	R00967	
3NUCLE3	R02370	
ADADir	R01666	
CYTK2m	R01665	
r0093	R00287	
r0149	R00569	
r0330	R01414	
r0494	R02092	
r0497	R02095	
