bigg_id	KEGG	SEED
ARGTRS	R03646	
ASPTRS	R05577	
CYSTRS	R03650	
GLUTRS	R05578	
LEUTRS	R03657	
LYSTRS	R03658	rxn06442
METTRS	R03659	
THRTRS	R03663	
TRPTRS	R03664	
VALTRS	R03665	
GLUTRSm	R05578	
ILETRSm	R03656	
LYSTRSm	R03658	rxn06442
METTRSm	R03659	
THRTRSm	R03663	
TYRTRSm	R02918	
VALTRSm	R03665	
ASNTRS_1	R03648	rxn06434
GLYTLm	R03654	
ASNTRS	R03648	rxn06434
GLNTRS	R03652	
GLYTRS	R03654	
HISTRS	R03655	
ILETRS	R03656	
PHETRS	R03660	
PROTRS	R03661	
SELCYSS	R08219	
SERTRS	R03662	
TYRTRS	R02918	
ARGTRSm	R03646	
ASNTRSm	R03648	rxn06434
ASPTRSm	R05577	
HISTRSm	R03655	
LEUTRSm	R03657	
PHETRSm	R03660	
TRPTRSm	R03664	
GLNTRAT	R03905	rxn06520
GLUTRS_Gln	R03651	
ASNTRAT	R04212	rxn06619
ASPTRS_Asn	R03647	
GLUTRS_1	R05578	
SLCS	R08219	
VALTLh	R03665	
