bigg_id	KEGG	SEED
ANPRT	R01073	
CHORM	R01715	
DHQS	R03083	
IGPS	R03508	
PHETA1	R00694	
PPNDH	R01373	
PRAIi	R03509	
PSCVT	R03460	
SHK3Dr	R02413	
TRPS2	R00674	
TRPS3	R02340	
PPND2	R01730	
QUIDH	R01873	
PHETA1m	R00694	
ANTPPT	R01073	
ATNS_nh4	R00985	rxn00726
CHRS	R01714	
G3PL	R02340	
IGPS_1	R03508	
POATh	R00694	
PPOR_1	R01728	
SERH	R02722	
TRPS2h	R00674	
ANS	R00986	
CHORS	R01714	
DDPA	R01826	
DHQTi	R03084	
PPND	R01728	
QUINDH	R01872	
SHKK	R02412	
TRPS1	R02722	
TYRTA	R00734	
DDPAm	R01826	
TYRTAi	R00734	
TYRTAim	R00734	
TYRTAip	R00734	
DHSKDH	R01627	
ANS2	R00985	rxn00726
AROH	R00691	
ATNS	R00986	
CHRM	R01715	
DHQS_1	R03083	
DPHS	R01826	
DQDH	R03084	
PRAI	R03509	
PSCIT	R03460	
TYRTAh	R00734	
PHEOX	R00689	
TYROX	R00729	
