bigg_id	KEGG	SEED
LALDO3	R02260	rxn01618
MGSA	R01016	
MMCD	R00923	
OBTFL	R06987	
PTA2	R00921	
SUCOAS	R00405	
2HBO	R01000	
ACCOACrm	R00742	
MCITL2m	R00409	
MCITSm	R00931	
SUCOASm	R00405	
PPCOAC	R01859	
MMSAD3	R00705	
APATr	R00907	
ALCD3ir	R02377	
3HPCOAHYD	R03158	
3HPPD	R01608	
ACACT1x	R00238	
ADCim	R01366	
MCDm	R00233	
MCDp	R00233	
MMCDm	R00923	
MMCDp	R00923	
MMEm	R02765	
MMSAD3m	R00705	
PRPNCOAHYDm	R03045	
PRPNCOAHYDx	R03045	
SUCOAS1m	R00432	
HPHL	R03045	
MCDC	R00233	
PCFPTm	R06987	
PCPPTh	R00921	
PCPPTm	R00921	
r0571	R02764	
r0596	R03158	
ACACCT	R01359	
ACACT1r	R00238	
ACCOAC	R00742	
ALR2	R02528	
MCITD	R04424	
MCITL2	R00409	
MCITS	R00931	
MICITDr	R04425	
KAT1	R00238	
MME	R02765	
MMM2	R00833	
ACACT1m	R00238	
MMSAD2	R09097	
MCD	R00233	
LCD	R02963	
APAT2rm	R00908	
MMMm	R00833	
PPCOACm	R01859	
ALCD20y	R01550	
ACCAHh	R00997	
ACCAHm	R00997	
HPCOR	R04919	
OCDOR	R00744	
PCFPTh	R06987	
ACCOAhi	R00742	
SUCLm	R00405	
LDH2	R01000	
r0365	R01608	
