bigg_id	KEGG	SEED
NADK	R00104	
NADTRHD	R00112	
NMNDA	R02322	
NNAM	R01268	
NNATr	R03005	
NADDPp	R00103	rxn00076
NADKm	R00104	
NADPPPSm	R00118	
NADS1n	R00189	
NNATm	R03005	
NNDPRm	R03348	
NNMT	R01269	
NMNR	R02323	
NICRNS	R03347	
NADS1m	R00189	
QULNS_1	R04292	
MALEI	R01087	
MALMDA	R03540	
PYRDOX	R09125	
NADDPe	R00103	rxn00076
NADNe	R00102	rxn00075;rxn13106
NNATn	R03005	
ASPO2y	R07407	
DNGALh	R00257	
NPH	R00103	rxn00076
NMNSn	R01271	
ASPO6	R00481	
NADDP	R00103	rxn00076
NADN	R00102	rxn00075;rxn13106
NADPPPS	R00118	
NADS1	R00189	
NAMNPP	R01724	
NMNAT	R00137	
NNDPR	R03348	
QULNS	R04292	
NADNm	R00102	rxn00075;rxn13106
NMNATm	R00137	
NNAMrm	R01268	
PNP	R02294	
RNMK	R02324	
PYRZAM	R03540	
NMNHYD	R02323	
NADS2	R00257	
6HNACMO	R08764	
NFMLDF	R09126	
ASPO2	R07410	
ASPO6_1	R00481	
NMNS	R01271	
DNADDP	R03004	
NMNATn	R00137	
NP1	R02295	
NT5C	R03346	
ANNAT	R00137	
ANNATn	R00137	
NAPT	R01271	
NNOR	R00112	
