bigg_id	KEGG	SEED
FALDH2	R06983	rxn04792
FBA	R01068	
GLYCK2	R08572	
HPYRRx	R01388	
PGCD	R01513	
PPC	R00345	
PPS	R00199	
PSERT	R04173	
PSP_L	R00582	
PTAr	R00230	
SFGTHi	R00527	
MDHm	R00342	
MDHp	R00342	
ALCD1	R00605	
LPFPLT	R09398	
MCMMT	R09098	
MDHi2	R00342	
SPDC	R05774	
PSP	R00582	
ENOm	R00658	
ACKrh	R00315	
ACKrm	R00315	
MDHf	R00342	
MDHh	R00342	
ACKr	R00315	
ACS	R00235	
ENO	R00658	
FALGTHLs	R06982	rxn04791
MDH	R00342	
PGM	R01518	
PSP_Lpp	R00582	
ACSm	R00235	
ACSp	R00235	
DHAK	R01011	
FDH	R00519	
ALDD1	R00604	
POR_syn	R01196	
SPT_syn	R00588	
7MHTS	R08323	
CH2ACH	R10393	
COBS	R08217	
GF4GL_0	R09399	
GF4GL_1	R09400	
LPPGS	R09397	
RH2CD	R10392	
RH3CD	R10395	
TMAMT	R09124	
GLYCDH_1	R01388	
PGLYDH	R01513	
PSAT	R04173	
SGAT	R00588	
ENOf	R00658	
PGMf	R01518	
PGMm	R01518	
PTArh	R00230	
PTArm	R00230	
PYRShi	R01196	
