bigg_id	KEGG	SEED
UDPG4E	R00291	
UDPGALM	R00505	
UGLT	R00955	
DGGH	R01101;R06091	
GALIGH	R01194;R06093	
GALT	R00502	
MELTGH	R02926	
SUCRe	R00801;R06087	
GALAM6PISO	R08365	
GALOR	R01095	
GGGH	R01104	
GRGT	R03418;R06042	
IAGT	R01192;R06214	
MLGH	R02926	
OAGMIG	R01194;R06093	
RGH	R01103;R06070	
GALS4	R03634;R06152	
DDGALK	R03387	
DDPGALA	R01064	
GALCTND	R03033	
GALKr	R01092	
GALUi	R00289	
GLTPD	R05571	
PFK_2	R03236	
TGBPA	R01069	
EPMGH	R01329;R06142	
GGLGH	R01104	
RAFGH	R01103;R06070	
SUCR	R00801;R06087	
STACHGALACT	R03634;R06152	
UGALGTg	R00503;R06067	
AGMIS	R02411;R06071	
EMGH	R01329;R06142	
GALKh	R01092	
GALO	R01098	
LCGH	R01678	
SYGH	R03634;R06152	
r0627	R01104	
