bigg_id	KEGG	SEED
ACNML	R01811	
AMANAPEr	R02087	
AMANK	R02705	
G6PDA	R00765	
GLGC	R00948	
GMAND	R00888	
HEX4	R01326	
MAN1PT2	R00883	
PGAMT	R02060	
UACMAMO	R03317	
UAG2E	R00420	
UAPGR	R03192	
UDPG4E	R00291	
UDPGDC	R07658	rxn07473
UDPKAAT	R07659	
UGLT	R00955	
ACGAM6PS	R02058	
GALT	R00502	
MAN1PT	R00885	
UAG2EMA	R00414	
UAG4Ei	R00418	
ACNMCT	R01117	
CDPGLC46DH	R02426	
UDPGLDC	R01384	
HEX10	R01961	
G6PDA_1	R00765	
UA4E	R01473	
AM6PTh	R01326	
UGE	R01385	
GLPThi	R00948	
HXAD	R00022;R06141	
r0013	R00022;R06141	
ACGAMK	R01201	
ACM6PH	R08555	
AGDC	R02059	
GALKr	R01092	
GALUi	R00289	
PMANM	R01818	
UAGCVT	R00660	
UDPGD	R00286	
ACNPLYS	R01804	
G1PCTYT	R00956	
GFUCS	R05692	
SQD1	R05775	
ACGAM2E	R01207	
CMPSASn	R01117	
F1PGT	R01951	
UDPGLDCg	R01384	
UDPGALOR	R00501	
GALKh	R01092	
UDPSQS	R05775	
UAG4E	R00418	
r0113	R00414	
