bigg_id	KEGG	SEED
FUM	R01082	
GLYOX	R01736	
GLYOX3	R09796	
IPPS	R01213	
LALDO3	R02260	rxn01618
LCADi	R01446	
LGTHL	R02530	
MALS	R00472	
ME1	R00214	
PPC	R00345	
PPCK	R00341	
PPS	R00199	
PTAr	R00230	
PYK	R00200	
ACCOACrm	R00742	
IPPSm	R01213	
MDHm	R00342	
MDHp	R00342	
PC	R00344	
ACYP_2	R00317	
ACOAH	R00227	
GLYOX_1	R02530	
PEPCK_re	R00431	
ACACT1x	R00238	
ALR	R00205	
LCADi_D	R01735	
LDH_Lm	R00703	
PEPCKm	R00431	
MDHi2	R00342	
MDHy	R00343	
PPDKh	R00206	
PDHam1hi	R00014	
PDHam1mi	R00014	
PYKm	R00200	
ACKrh	R00315	
ACKrm	R00315	
PFLACTm	R00212	
MDHf	R00342	
MDHh	R00342	
PPCKm	R00341	
r0068	R00236	
r0173	R00703	
ACACT1r	R00238	
ACALD	R00228	
ACCOAC	R00742	
ACKr	R00315	
ALDD2x	R00710	
ALDD2y	R00711	
LALDO2x	R02527	
LDH_D	R00704	
MDH	R00342	
ME2	R00216	
OAADC	R00217	
PFL	R00212	
KAT1	R00238	
ACACT1m	R00238	
ACOAHim	R00227	
ALDD2xm	R00710	
ALDD2ym	R00711	
FUMm	R01082	
GLYOXm	R01736	
MALSp	R00472	
ME1m	R00214	
ME2m	R00216	
LDH_L	R00703	
LCADm	R01446	
LacR	R01450	
PPDK	R00206	
LO	R00319	
POR_syn	R01196	
LCADi_Dm	R01735	
PCm	R00344	
MDH_nadp_hi	R00343	
MDHC_nadp_hr	R00216	
PYKf	R00200	
MALSh	R00472	
MALSm	R00472	
ACALDh	R00228	
ACCOAhi	R00742	
APhi	R00317	
IPPSh	R01213	
LDHm	R00704	
LLDHh	R00703	
PFLh	R00212	
PTArh	R00230	
PTArm	R00230	
PYRShi	R01196	
MDH_nadp_fi	R00343	
r0097	R00316	
