bigg_id	KEGG	SEED
CS	R00351	
FUM	R01082	
PPCK	R00341	
SUCOAS	R00405	
CSm	R00351	
CSp	R00351	
MDHm	R00342	
MDHp	R00342	
PC	R00344	
SUCOASm	R00405	
PEPCK_re	R00431	
ACITL	R00352	
PEPCKm	R00431	
SUCOAS1m	R00432	
MDHi2	R00342	
PDHam1hi	R00014	
PDHam1mi	R00014	
MDHf	R00342	
MDHh	R00342	
PPCKm	R00341	
r0082	R00268	
r0083	R00268	
r0163	R00621	
r0423	R01899	
r0424	R01899	
ACONTa	R01325	
ACONTb	R01900	
MDH	R00342	
FUMm	R01082	
ICDHxm	R00709	
POR_syn	R01196	
PCm	R00344	
ICDHx	R00709	
PYRShi	R01196	
SUCLm	R00405	
r0084	R00268	
r0422	R01899	
