bigg_id	KEGG	SEED
HSTPT	R03243	
IG3PS	R04558	
IGPDH	R03457	
PRATPP	R04035	
ARMT	R01159	
HISDr	R01168	
URCN	R02914	
FORGLUIH	R02286	
NFORGLUAH	R00525	
HDC	R01167	
HPh	R03013	
PRACHh	R04037	
PRICIh	R04640	
HSTPTr	R03243	
IG3PS_1	R04558	
IZPN_1	R02288	
PRAMPC_1	R04037	
ATPPRT	R01071	
HISTP	R03013	
PRAMPC	R04037	
PRMICI	R04640	
FGLU	R02285	
IZPN	R02288	
IMACTD	R04065	
HISDC	R01167	
HISTASE	R02150	
IMACTD_m	R04065	
SAMHISTA	R02155	
BADP	R03288	
AO	R02150	
AOOAh	R03243	
HP	R03013	
IGPDh	R03457	
IMGPSh	R04558	
PRADPh	R04035	
HYNE	R00270	
URCN_1	R02914	
ALDD20x_1	R04065	
FGLU_1	R02285	
IGPDH_1	R03457	
