bigg_id	KEGG	SEED
ECOAH1	R03026	
HOPNTAL	R00750	
3OADPCOAT	R02990	
4HBHYOX	R01298	
BZ12DOX	R05621	
BZDIOLDH	R00813	
CAT23DOX	R00816	
CATDOX	R00817	
HMSD	R02762	
MUCCY_kt	R03307	
PCADYOX	R01631	
BCOALIG	R01422	
BCOALIG2	R01300	
OCHCCH	R05594	
ACACT1x	R00238	
HBCO_nadp	R01976	
HBCO_nadp_m	R01976	
ECOAH1_1	R03026	
3OXCOAT	R00829	
ACACT1r	R00238	
ACALD	R00228	
KAT1	R00238	
4HBZFm	R01301	rxn00965
ACACT1m	R00238	
4CMLCL_kt	R03470	
4OT	R03966	
OXOAEL	R02991	
CMLDC	R03470	
3HOPCD	R05305	
CHDCCH	R05597	
HOCCD	R05581	
OGCOAAT	R05586	
ECOAH1m	R03026	
ECOAH1x	R03026	
ACALDh	R00228	
