bigg_id	KEGG	SEED
TYROXDApp	R02382	
FUMAC	R01364	
HGNTOR	R02519	
CMCMSAD	R04418	
DHPDO	R03303	
CMHMI	R04379	
34DHPACDO	R03303	
41R2A1H12BOOX	R02532	
42A12BOOX	R04300	
DOPABMO	R02535	
DOPAMT	R04301	
SSALxm	R00713	
TYRCBOX	R00736	
MAAIn	R03181	
FUMAH	R01085	
RE2124C	R02384	
r0558	R02655	
r0559	R02657	
42A12BOOXpp	R04300	
SSALx	R00713	
SSALy	R00714	
TYRTA	R00734	
34HPLFM	R03336	
34HPPOR	R02521	
MACACI	R03181	
TYRTAi	R00734	
TYRTAim	R00734	
TYRTAip	R00734	
DHEDAA	R01647	
OHEDH	R04132	
3HPAOX	R03299	
34DHALDD	R03300	
4HOXPACMON	R02698	
34DHOXPEGOX	R04880	
34DHPLACOX_NADP	R03302	
3MOXTYROX	R04890	
SALMCOM	R02534	
TYROXDAc	R02382	
SSNOh	R00713	
TYRTAh	R00734	
34HPPYRI	R03342	
TYROX	R00729	
r0179	R00714	
