bigg_id	KEGG	SEED
ASAD	R02291	
HCYSMT	R00650	
HSST	R01777	
METAT	R00177	
MTAN	R01401	
RHCCE	R01291	rxn05958
SERAT	R00586	
SPMS	R01920	
MDRPD	R07392	
MTRI	R04420	
MTRK	R04143	
AHCi	R00192	
AHSERL2	R01287	
HSDxi	R01773	
HSERTA	R01776	
MHPGLUT	R04405	
SHSL4r	R00999	
2OH3K5MPPISO	R07394	rxn05106
ENOPH	R07395	
ARAT	R07396	
ARD_1	R07364	
CYSTA	R00895;R00896	
CYSGLTH	R01113	
CYSLYSL	R02408	
CYSO	R00893	
SERHL	R00590	
SLDx	R05693	rxn03963
SLDxi2	R05693	rxn03963
ACSERSULLm	R03132	
SHSL2h	R01288	
SHSL4h	R00999	
AATC	R02433	
SAT	R00586	
SATm	R00586	
ASPK_1	R00480	
ACDO	R07364	
ACPCS	R00179	
ADSHm	R00192	
AHAL	R02026	
AHHST	R01287	
MS	R04405	
APAPTm	R01920	
CYSS_2	R00897	
SHSL2	R01288	
METOX	R00648	
ADMDC	R00178	
AHCYSNS	R00194	
ASPK	R00480	
CYSDDS	R01874	
CYSDS	R00782	
CYSS	R00897	
CYSSADS	R00863	
HSDy	R01775	
METSOXR1	R02025	rxn06077
UNK3	R07396	
MTAP	R01402	
SPRMS	R02869	
SLCYSS	R03132	
23DK5MPPISO	R07393	
ARD	R07364	
BHMT	R02821	
METGL	R00654	
SHSL2r	R01288	
ARD1	R07363	
CYSTAm	R00895;R00896	
LCYSTAT	R02433	
LCYSTATm	R02433	
SLDxm	R05693	rxn03963
ASAPT	R02869	
ACSERSULL	R03132	
ACSERSULLh	R03132	
CTINBL	R02408	
CYSATm	R00895;R00896	
CYSAT	R00895;R00896	
CYSDO	R00893	
CYSS_1	R00897	
CYSTBL	R00782	
ASADH	R02291	
HSDH	R01775	
ACRS	R07393	
MATm	R00177	
FMETDF	R00653	
METSR_S1	R02025	rxn06077
TRPAS1	R00782	
