bigg_id	KEGG	SEED
ACACT2r	R01177	
ACACT4r	R03778	
ACOAD1f	R01175	
ACOAD5f	R03857	
ACOAD7f	R01279	
ECOAH1	R03026	
ECOAH2	R04749	
ECOAH4	R04744	
ECOAH6	R04740	
HACD4	R04743	
HACD5	R04741	
HACD7	R04737	
HACD1i	R01975	
HACD2i	R04748	
HACD4i	R04743	
HACD6i	R04739	
HACD7i	R04737	
ACACT4p	R03778	
ACACT6p	R03858	
ACACT7p	R03991	
ECOAH4p	R04744	
ECOAH6p	R04740	
ECOAH7p	R04738	
FACOAL160p	R01280	
HACD4p	R04743	
HACD6p	R04739	
HACD7p	R04737	
ACACT1x	R00238	
GLUTCOADHm	R02487	
HACD1m	R01975	
ACACT4m	R03778	
ACACT6m	R03858	
ECOAH2m	R04749	
ECOAH7m	R04738	
HACD4m	R04743	
HACD5m	R04741	
HACD7m	R04737	
ACACT2	R01177	
ACOA120OR	R03857	
ACOA140OR	R03990	
ACOA40OR	R01175	
ECOAH3_1	R04746	
HACD2_1	R04748	
ECOAH1_1	R03026	
ECOAH5_1	R04170	
HACD1_1	R01975	
ACACT1r	R00238	
ACACT6r	R03858	
ACACT7r	R03991	
ACOAD3f	R03777	
ACOAD6f	R03990	
ECOAH3	R04746	
ECOAH5	R04170	
ECOAH7	R04738	
HACD1	R01975	
HACD2	R04748	
HACD3	R04745	
HACD6	R04739	
HACD3i	R04745	
HACD5i	R04741	
KAT1	R00238	
ACACT1m	R00238	
ECOAH5p	R04170	
FACOAL160	R01280	
HACD5p	R04741	
GLCOAS	R02402	
GLUTCOADHc	R02487	
ACOAD1fm	R01175	
ECOAH1m	R03026	
ECOAH1x	R03026	
HACD1x	R01975	
ACACT2m	R01177	
ACACT7m	R03991	
ECOAH3m	R04746	
ECOAH4m	R04744	
ECOAH5m	R04170	
ECOAH6m	R04740	
HACD2m	R04748	
HACD3m	R04745	
HACD6m	R04739	
ACOA160OR	R01279	
ACOA80OR	R03777	
ECOAH2_1	R04749	
HACD3_1	R04745	
ACACT5r_1	R04742	
ALDD16	R01704	
r0311	R01280	
