bigg_id	KEGG	SEED
ECOAH1	R03026	
HACD1i	R01975	
ALCD26xim	R02679	
ALDD20xm	R02678	
FKYNH	R01959	
KYN	R00987	
KYN3OX	R01960	
AM6SAD	R03889	
ALDD20x	R02678	
2OXOADOXm	R01933	
3HXKYNOXDA	R04907	
5HOXINOXDA	R02908	
ACACT1x	R00238	
HACD1m	R01975	
LTDCL	R00685	
TRYPTAOX	R02173	
ECOAH1_1	R03026	
HACD1_1	R01975	
TRPOX	R00677	
ACACT1r	R00238	
HACD1	R01975	
TRPAS2	R00673	
KAT1	R00238	
3HAO	R02665	
ACACT1m	R00238	
ALCD26xi	R02679	
AMID3	R03096	
HKYNH	R02668	
INDPYRD	R01974	
NTRLASE	R03093	
QUILSYN	R04293	
TRPO2	R00678	
TRPTA	R00684	
PCLAD	R04323	
3HXKYNDCL	R04172	
AMCOXO	R01938	
ECOAH1m	R03026	
ECOAH1x	R03026	
HACD1x	R01975	
