bigg_id	KEGG	SEED
ABTA	R01648	
ADSS	R01135	
ALATA_L	R00258	
ARGSS	R01954	
ASNN	R00485	
ASNS2	R00483	
ASPT	R00490	
ASPTA	R00355	
CBPS	R00575	
GLNS	R00253	
GLUDC	R00261	
GLUNpp	R00256	
GLUPRT	R01072	
GLUSy	R00114	
P5CD	R00707	
ASPTAm	R00355	
GLUDxi	R00243	
GLUSx	R00093	
ASPO1	R00357	
ABTArm	R01648	
NACASPAH	R00488	
SSALxm	R00713	
ASPTA6	R00400	
GDH1	R00243	
ASPOm	R00357	
ASPATh	R00355	
GAM	R00256	
PRDPARh	R01072	
GDHm	R00243	
GALh	R00253	
GALm	R00253	
GLUS	R00093	
GDH	R00243	
GDH_nadp	R00248	
GLUS_nadph	R00114	
ASPCT_1	R01397	
HCGALm	R00575	
GLUDym	R00248	
r0085	R00269	
r0086	R00269	
ADSL1r	R01083	
ARGSL	R01086	
ASNNpp	R00485	
ASNS1	R00578	rxn00416
ASPCT	R01397	
GLUDy	R00248	
GLUN	R00256	
SSALx	R00713	
SSALy	R00714	
AGTi	R00369	
ALATA_Lm	R00258	
ASNNe	R00485	
ASPTAp	R00355	
P5CDm	R00707	
ALAD_L	R00396	
ASPCTn	R01397	
CBPSn	R00575	
AGTim	R00369	
AGTix	R00369	
ASNNm	R00485	
ASPNATm	R00487	
DASPO1p	R00359	
GLUNm	R00256	
ASP4DC	R00397	
ASPR	R00491	
ASPSE	R00485	
ARGSS_1	R01954	
SSNOh	R00713	
ARGDh	R00261	
CPS	R00149	
ADSSh	R01135	
ASPCTm	R01397	
r0156	R00576	
r0157	R00576	
r0179	R00714	
