bigg_id	KEGG	SEED
CS	R00351	
GLNS	R00253	
GLXCL	R00013	
GLYCK	R01514	
GLYCLTDx	R00717	
HPYRRx	R01388	
MALS	R00472	
PGLYCP	R01334	
CSm	R00351	
CSp	R00351	
FKYNH	R01959	
MDHm	R00342	
MDHp	R00342	
GLYCTO1	R00475	
NFORGLUAH	R00525	
FORAMD	R00524	
PPCOAC	R01859	
OXACOAL	R01558	
FCOAH2	R00521	
ACACT1x	R00238	
GCALDDm	R01333	
GLXO2p	R00466	
GLYCLTDym	R00465	
HPYRDC	R01393	
MMEm	R02765	
MDHi2	R00342	
GALh	R00253	
GALm	R00253	
GLYPT	R01514	
GLYTA_1	R00372	
PGLYCPh	R01334	
OXADCm	R00522	
PGLYCPx	R01334	
RBCh_1	R03140	
FORA	R00524	
MDHf	R00342	
MDHh	R00342	
GLXCBL	R00013	
HOXPRx	R01745	
ACACT1r	R00238	
ACONTa	R01325	
ACONTb	R01900	
CAT	R00009	
GCALDD	R01333	
GLYCLTDy	R00465	
HPYRI	R01394	
HPYRRy	R01392	
ICL	R00479	
MDH	R00342	
OXCDC	R01908	
TARTD	R00339	
TRSARr	R01745	
KAT1	R00238	
MME	R02765	
MMM2	R00833	
ACACT1m	R00238	
CATp	R00009	
FDH	R00519	
MALSp	R00472	
DDPGA	R00470	
GLYTA	R00372	
GLMS_syn	R00021	
RBCh	R03140	
SPT_syn	R00588	
GLXO3r	R00466	
OXADC	R00522	
CATm	R00009	
DDPGAm	R00470	
FCOAH	R00521	
GLYCTO1p	R00475	
HPYRDCm	R01393	
MMMm	R00833	
PPCOACm	R01859	
GLUS_ferr	R00021	
GLYCDH_1	R01388	
SGAT	R00588	
FORAMDx	R00524	
HOXPRm	R01745	
ICL_1	R00479	
MALSh	R00472	
MALSm	R00472	
FMETDF	R00653	
TARTRDH	R06180	
TARTRDH2	R02545	
HPI	R01394	
r0340	R01514	
