bigg_id	KEGG	SEED
23PDE9pp	R05135	
3NTD9pp	R02148	
ADD	R01244	
ADNCYC	R00089	
ADNK1	R00185	
ADNUC	R01245	
ADPT	R00190	
ADSK	R00509	
ADSS	R01135	
ATPM	R00086	rxn00062;rxn09694
CBMKr	R00150	
DGK1	R02090	
GLUPRT	R01072	
GMPR	R01134	
GMPS2	R01231	
GSNK	R01228	
GTPDPK	R00429	
GUAPRT	R01229	
IMPD	R01130	
INSK	R01131	
NDPK1	R00330	
NDPK5	R01857	
NTD10	R02719	
NTD10pp	R02719	
NTD11pp	R01126	
NTD6	R02088	rxn01507
NTD6pp	R02088	rxn01507
NTD7	R00183	
NTD7pp	R00183	
NTD8	R01968	
NTD8pp	R01968	
NTD9	R01227	
NTD9pp	R01227	
NTP1	R00086	rxn00062;rxn09694
NTP10	R00719	
NTP3pp	R00335	
NTPP1	R01855	
NTPP6	R00087	rxn00063
NTPTP1	R01856	
PDE1	R00191	
PDE4	R01234	
PRAGSr	R04144	
PUNP1	R01561	
PUNP3	R02147	
PUNP4	R01969	
PUNP5	R01863	
PYK	R00200	
RNDR2	R02019	
UGLYCH	R00469	
ADK1m	R00127	
ALLTAHr	R02422	
AMPDA	R00181	
GNNUC	R01677	
NDP3	R00328	
NDP3g	R00328	
NDPK9	R00722	
PUNP3m	R02147	
RNDR2n	R02019	
RNTR1	R02014	
RNTR2	R02020	
PAPSSH	R00507	
ADPT2	R04378	rxn03039
AICART2	R06975	
GMPS	R01230	
NDPK10	R03530	
3NTD7l	R01562	
ADAe	R01560	
AP4AH1	R00184	
INSKm	R01131	
NDP10ex	R00961	
NDP3ex	R00328	
NDPK10n	R03530	
NDPK1n	R00330	
NDPK5m	R01857	
NDPK5n	R01857	
NDPK8m	R01137	
NDPK9m	R00722	
NDPK9n	R00722	
NTD6l	R02088	rxn01507
NTD7l	R00183	
NTD8l	R01968	
NTD9e	R01227	
NTD9l	R01227	
NTP3e	R00335	
PDE1g	R00191	
PDE4g	R01234	
XAO2x	R01769	
PRDPARh	R01072	
PYKm	R00200	
AASPh	R00509	
AASPm	R00509	
ADATT	R00126	
ADECn	R00089	
AGPOP	R01858	
AGPOPm	R01858	
ATDAMh	R01547	
ATDAMm	R01547	
ATDGDm	R01857	
ATGDm	R00330	
ATPPHm	R00086	rxn00062;rxn09694
DAPOP	R01138	
GDTP	R03409	
GMPS_glu_m	R01231	
GPAR	R01229	
GTPDPK_1	R00429	
GTPOPm	R00430	
GUAC	R00434	
GUACn	R00434	
GUAD_1	R01676	
HIUH	R06601	
IDPA	R00961	
IMPDm	R01130	
PPRGL	R04144	
PPRGLh	R04144	
ADNK1n	R00185	
ADSKn	R00509	
DADNKn	R02089	
SADTn	R00529	
XAO2	R01769	
23PDE7pp	R03537	
3NTD7pp	R01562	
ADA	R01560	
ADK1	R00127	
ADSL1r	R01083	
AIRC3	R07405	
AP4AH	R00125	
DADA	R02556	
DADK	R01547	
GK1	R00332	
GTPDPDP	R03409	
GUACYC	R00434	
GUAD	R01676	
HXAND	R01768	
HXPRT	R01132	
IMPC	R01127	
INSH	R01770	
NDPK8	R01137	
NTD11	R01126	
NTP3	R00335	
NTPP10	R03531	
NTPP11	R02720	
NTPP2	R00426	
NTPP9	R00720	
OXAMTC	R02937	
PPGPPDP	R00336	
PUNP2	R02557	
PUNP6	R02748	
PUNP7	R02297	
RNDR1	R02017	
URDGLYCD	R02935	
XAND	R02103	
XPPT	R02142	
XTSNH	R02143	
ATPATF1	R00126	
ATPS	R00086	rxn00062;rxn09694
NDP1	R00122	
PUNP1m	R01561	
RNDR1n	R02017	
SADT	R00529	
UREA	R00131	
PYK3	R00430	
ADNK1m	R00185	
ATPH2e	R00122	
DADAe	R02556	
DADNK	R02089	
DGNSKm	R01967	
GK1m	R00332	
GSNKm	R01228	
NDPK10m	R03530	
NDPK1m	R00330	
NDPK8n	R01137	
NTD7e	R00183	
XANDp	R02103	
XAOx	R02107	
PYKf	R00200	
ADSSh	R01135	
APATT	R01618	
APNn	R00191	
ATAH	R02422	
ATAMh	R00127	
BTP	R00187	
BTPS	R00125	
GCPN	R01234	
GCPNn	R01234	
GMP5N	R01227	
GMPSm	R01230	
URO	R02106	
23CN2P1	R03537	
23CN2P4	R05135	
3NUCLE1	R01562	
3NUCLE4	R02148	
DGNSK	R01967	
DNTP	R00187	
HURH	R06601	
URAOX	R02106	
XAO	R02107	
r0047	R00183	
r0051	R00190	
r0280	R01138	
r0410	R01855	
