bigg_id	KEGG	SEED
TPI	R01015	
MMSAD3	R00705	
MI4PP	R01186	
MI3PP	R01187	
2INSD	R02782;R05659	
INS2D	R01183	
MMSAD3m	R00705	
PI34P4Pn_cho	R07299	
PI3P3Pn_cho	R03363	rxn06367
PI45P3K_cho	R04545	
PI5P4Kn_cho	R05803	
PIK3_cho	R03362	
PIK3n_cho	R03362	
RE2972R	R05803	
RE2974G	R05802	
RE2974R	R05802	
MI1PP	R01185	
INOSTO	R01184	
TPIh	R01015	
MIHKPP	R03372	
CDIPTr_cho	R01802	
MI3PS	R07324	
PI345P3P_cho	R04513	
PI345P3Pn_cho	R04513	
PI34P4P	R07299	
PI3P5K_cho	R05802	
PI3PP_cho	R03363	rxn06367
PI45P3Kn_cho	R04545	
PI5P4K_cho	R05803	
RE2972G	R05803	
RE2972M	R05803	
RE2974N	R05802	
