bigg_id	KEGG	SEED
ACBIPGT	R05222	
ADOCBLS	R05223	
G1SAT	R02272	
GLUTRS	R05578	
HMBS	R00084	
PPBNGS	R00036	
SHCHF	R02864	
UPP3MT	R03194	
UPPDC1	R03197	
GLUTRSm	R05578	
ADCPS1	R07302	
ADCPS2	R06529	
PC11M	R05181	
PC17M	R05180	
PC6AR	R05150	
PC6YM	R05149	
R05219	R05219	
MPML	R03877	
LTHRK	R06531	
THRPDC	R06530	
BILIRED_1	R02393	
FERO	R00078	
GLUTRR_1	R04109	
SHCHF_1	R02864	
UPP3MT_1	R03194	
UPP3S_1	R03165	
SHCHF_2	R02864	
BILIRED2	R02391	
FEROc	R00078	
r0016	R00078	
HEMEAS_1	R07412	rxn05121
ADOCBIK	R05221	
CPPPGO	R03220	
CPPPGO2	R06895	
FEROpp	R00078	
GLUTRR	R04109	
NNDMBRT	R04148	
RZ5PP	R04594	
SHCHD2	R03947	
UPP3S	R03165	
ALASm	R00830	
HEMEAS	R07412	rxn05121
UPPDC2	R04972	
PC20M	R03948	
PC8XM	R05177	
CPC3MT	R05809	
CODSCL5BMT	R07773	
BILIRED	R02393	
DVOCHR	R06896	
MPOMT	R04237	
ADOCBIAH	R05226	
G1SAT_1	R02272	
GLUTRS_1	R05578	
HEMEASm	R07412	rxn05121
MPML_1	R03877	
PPBNGD	R00084	
PPBNGS_1	R00036	
TFENFEOR	R04123	
UPP1S	R03166	
UPPDC1_1	R03197	
UPPDC2_1	R04972	
SHCHD2_1	R03947	
UPP3MT_2	R03194	
