bigg_id	KEGG	SEED
CINNDO	R06783	
DHCIND	R06785	
DHCINDO	R06788	
HOPNTAL	R00750	
HPPPNDO	R04376	
PHETA1	R00694	
AMID2	R02540	
COUCOAFm	R01616	
PPOR	R01372	
4CMCOAS	R01616	
PHETA1m	R00694	
POATh	R00694	
PHACCOAGLYACm	R05841	
r0548	R02537	
3HCINNMH	R06787	
3HPPPNH	R06786	
3OXCOAT	R00829	
ACALD	R00228	
ALDD19xr	R02536	
HADPCOADH3	R06941	
PACCOAL	R02539	
PEAMNOpp	R02613	
ALCD25xi	R02611	
ALCD25xim	R02611	
PPYRDC	R01377	
PHYCBOXL	R00699	
PEAMNO	R02613	
DHCINDO_1	R06788	
HPPPNDO_1	R04376	
ALDD19x_P	R02537	
ACALDh	R00228	
PHEOX	R00689	
r0546	R02536	
