bigg_id	KEGG	SEED
CHRPL	R01302	
HBZOPT	R05615	
ICHORS	R01717	
OHPHM	R04988	
OPHBDC	R04986	
SUCBZS	R04031	
4HBZCOAFm	R08767	
COUCOAFm	R01616	
URFGTT	R04990	
4CMCOAS	R01616	
FUTH	R08587	
TOCOPHOM1	R07236	
TOCOPHOM2	R07504	
TOCOPHS1	R07502	
TOCOPHS2	R07503	
TCYD	R07503	
TMTG	R07236	
SEPHCHCS	R08165	
SHCHCS3	R08166	
SUCBZL	R04030	
TYRTA	R00734	
34HPLFM	R03336	
34HPPOR	R02521	
3DH5HPBMTm	R04711	
3HPH5MBDCm	R06866	
4HBZFm	R01301	rxn00965
HBZOPT6m	R05616	
T4HCINNMFM	R08766	
TYRTAi	R00734	
TYRTAim	R00734	
TYRTAip	R00734	
HGPHT	R07500	
MPBQ	R07501	
HPT	R07500	
MPQMT	R07501	
TCYG	R07502	
TMTD	R07504	
TYRTAh	R00734	
