bigg_id	KEGG	SEED
ECOAH1	R03026	
FUM	R01082	
PPC	R00345	
PPS	R00199	
PTAr	R00230	
SUCOAS	R00405	
HACD1i	R01975	
ACCOACrm	R00742	
ICDHym	R00267	
ICDHyp	R00267	
MDHm	R00342	
MDHp	R00342	
PC	R00344	
SUCOASm	R00405	
SUCD1	R00408	
MTHFC_1	R01655	
PPCOAC	R01859	
ACITL	R00352	
VACOAI	R03031	
ACACT1x	R00238	
HACD1m	R01975	
MMEm	R02765	
PRPNCOAHYDm	R03045	
PRPNCOAHYDx	R03045	
MDHi2	R00342	
PPDKh	R00206	
MTHFCx	R01655	
SUCDHh	R00408	
HPHL	R03045	
PCNOn	R00919	
ACKrh	R00315	
ACKrm	R00315	
MDHf	R00342	
MDHh	R00342	
ECOAH1_1	R03026	
HACD1_1	R01975	
ACACT1r	R00238	
ACCOAC	R00742	
ACKr	R00315	
ACONTa	R01325	
ACONTb	R01900	
ACS	R00235	
HACD1	R01975	
ICDHyr	R00267	
MDH	R00342	
MTHFC	R01655	
KAT1	R00238	
MME	R02765	
MMM2	R00833	
ACACT1m	R00238	
ACSm	R00235	
ACSp	R00235	
FRDm	R00408	
FUMm	R01082	
MTHFCm	R01655	
SUCD1m	R00408	
MTHFCm_1	R01655	
PPDK	R00206	
FRD	R00408	
4HBCOAH	R05337	
POR_syn	R01196	
ECOAH1m	R03026	
ECOAH1x	R03026	
HACD1x	R01975	
MMMm	R00833	
PCm	R00344	
PPCOACm	R01859	
PCNO	R00919	
ACCOAhi	R00742	
PTArh	R00230	
PTArm	R00230	
PYRShi	R01196	
ICDHhr	R00267	
SUCLm	R00405	
