bigg_id	KEGG	SEED
ETHAAL	R00749	
GPDDA1pp	R01030	
GPDDA2	R01470	
CHLPCTD	R01890	
ETHAK	R01468	
G3PD1ir	R00842	
G3PD1irm	R00842	
G3PDm	R00848	
G3PCT	R00856	
CHAT	R01023	
CHATn	R01023	
G3PD1	R00842	
G3PD2_1	R00844	
PSSA1_cho	R07377	
RE0066C	R03424	
RE3511C	R01320	
RE3511R	R01320	
r0788	R06868	
G3PD2	R00844	
GPDDA1	R01030	
GPDDA2pp	R01470	
CHOLK	R01021	
PETHCT	R02038	
G3PD	R00848	
ACHEe	R01026	
CEPTE	R02057	
CHLP	R06871	
ETHP	R06870	
G3PO	R00846	
CDIPTr_cho	R01802	
CLS_cho	R02030	
RE0066M	R03424	
RE0066R	R03424	
RE3511M	R01320	
r0186	R00748	
r0202	R00842	
r0480	R02037	
r0789	R06869	
