bigg_id	KEGG	SEED
ASAD	R02291	
BETALDHx	R02565	
GLYCK	R01514	
GLYCK2	R08572	
HPYRRx	R01388	
HSK	R01771	
PGCD	R01513	
PSERT	R04173	
PSP_L	R00582	
SERD_L	R00220;R00223	
THRA	R00751	
THRD	R01465	
THRD_L	R00996	
HSDxi	R01773	
GCCa	R03425	
BETALDHxm	R02565	
GLYATm	R00371	
SARCOXp	R00610	
SPTix	R00585	
R01465m	R01465	
AMO	R02529	
GLYATx	R00371	
GLYDHD	R03425	
GLYPT	R01514	
GLYTA_1	R00372	
HSK_1	R01771	
PSP	R00582	
THRA_1	R00751	
THRS_1	R01466	
ASPK_1	R00480	
SERH	R02722	
SERR	R00589	
AACTOOR	R02529	
APPLDHr	R03759	
ASPK	R00480	
BETALDHy	R02566	
CHOLD	R08557	
GLYAT	R00371	
HPYRRy	R01392	
HSDy	R01775	
PGM	R01518	
PSP_Lpp	R00582	
SARCOX	R00610	
SERD_D	R00221	
THRS	R01466	
TRPS1	R02722	
ALASm	R00830	
GCCam	R03425	
GCCcm	R03815	
THRD_Lm	R00996	
GCCc	R03815	
BHMT	R02821	
DABAAT	R06977	
SER_AL	R00220;R00223	
CYS	R00891	
GLYTA	R00372	
SPT_syn	R00588	
GLYOp	R00366	
GNMT	R00367	
SPTc	R00585	
GLYCDH_1	R01388	
PGLYDH	R01513	
PSAT	R04173	
SGAT	R00588	
THRAL	R00220;R00223	
ASADH	R02291	
HSDH	R01775	
PGMf	R01518	
PGMm	R01518	
TAL	R00996	
GLYO1	R00366	
r0340	R01514	
