bigg_id	KEGG	SEED
ACGS	R00259	
ACODA	R00669	
ACOTA	R02283	
ALATA_L	R00258	
ASAD	R02291	
ASPTA	R00355	
CS	R00351	
ILETA	R02199	
IPMD	R04426	
IPPMIa	R04001	
IPPMIb	R03968	
IPPS	R01213	
LEUTAi	R01090	
OMCDC	R01652	
PHETA1	R00694	
VALTA	R01214	
AATA	R01939	
ACONT	R01324	
AGPRim	R03443	
ASPTAm	R00355	
CSm	R00351	
CSp	R00351	
ICDHym	R00267	
ICDHyp	R00267	
ILETAm	R02199	
IPPSm	R01213	
OXAGm	R01936	
VALTAim	R01214	
ORNTAC	R02282	
PHETA1m	R00694	
ASPATh	R00355	
ASPK_1	R00480	
POATh	R00694	
ACONTx	R01324	
BCTA_glu_h	R01090	
BCTAh	R02199	
ACODA_1	R00669	
ORNTAC_1	R02282	
r0082	R00268	
r0083	R00268	
r0423	R01899	
r0424	R01899	
r0450	R01939	
ACGK	R02649	
ACONTa	R01325	
ACONTb	R01900	
AGPR	R03443	
ASPK	R00480	
ICDHyr	R00267	
TYRTA	R00734	
ACGKm	R02649	
ACGSm	R00259	
ACONTm	R01324	
ACOTAim	R02283	
ALATA_Lm	R00258	
ASPTAp	R00355	
HACNHm	R04371	
HICITDm	R04862	
ICDHxm	R00709	
LEUTA	R01090	
LEUTAm	R01090	
OMCDCm	R01652	
ORNTACim	R02282	
TYRTAi	R00734	
TYRTAim	R00734	
TYRTAip	R00734	
DABAAT	R06977	
CITCIb	R03898	
CH2ACH	R10393	
RH2CD	R10392	
RH3CD	R10395	
ICDHx	R00709	
ASADH	R02291	
TYRTAh	R00734	
IPPSh	R01213	
ICDHhr	R00267	
BCTA_val_h	R01214	
r0084	R00268	
r0422	R01899	
