id	ec_numbers	KEGG
rxn00004	4.1.3.17	R00008
rxn00177	4.1.3.24|4.1.3.25	R00237
rxn00195	5.4.99.1	R00262
rxn00234	4.1.3.22	R00325
rxn00680	2.3.3.11	R00932
rxn00682	4.1.3.24	R00934
rxn00735	1.1.1.85	R00994
rxn00736	4.1.1.3	R00995
rxn01605	4.1.1.6	R02243
rxn01731	6.2.1.5	R02404
rxn01734	2.8.3.20|2.8.3.7	R02407
rxn01805	4.2.1.56	R02491
rxn01956	6.3.1.7	R02711
rxn01957	3.5.1.67	R02712
rxn01958		R02713
rxn02257	2.8.3.11	R03153
rxn02258	2.8.3.7	R03154
rxn02622	4.2.1.34	R03693
rxn02623		R03694
rxn02624		R03695
rxn02625	4.3.1.2	R03696
rxn02749	4.2.1.35	R03896
rxn02750		R03897
rxn02751		R03898
rxn02806		R03995
rxn02976		R04269
rxn03440	4.2.1.148	R05076
rxn03441		R05077
rxn03442	4.2.1.-	R05078
rxn03443		R05079
rxn12823	1.2.3.-	R00993
rxn15021	2.2.1.6|4.1.3.18	R00226
rxn15092	2.3.3.11	R00932
rxn15093	2.3.3.11	R00932
rxn15383	4.1.1.5	R02948
rxn27664	2.2.1.6|4.1.3.18	R00226
rxn30152	6.2.1.5	R02404
rxn30334	2.2.1.6|4.1.3.18	R00226
rxn32091	1.1.1.85	R00994
rxn32196	4.2.1.35	R03896
rxn33387		R03898
