id	ec_numbers	KEGG
rxn00792	6.2.1.11|6.3.4.10|6.3.4.11|6.3.4.15|6.3.4.9	R01074
rxn00795	3.5.1.12	R01077
rxn02277	6.3.3.3	R03182
rxn02296	6.2.1.14	R03209
rxn02297	2.3.1.47	R03210
rxn02312	2.6.1.62	R03231
rxn02669	6.2.1.11	R03762
rxn06864	6.3.4.10|6.3.4.11|6.3.4.15|6.3.4.9	R05145
rxn08179		R10127
rxn14045	2.8.1.6	R01078
rxn15498	3.4.-.-	R04869
rxn16385	2.1.1.197	R09543
rxn16573	3.1.1.85	R09725
rxn21864	2.3.1.47	R10124
rxn27779	2.6.1.62	R03231
rxn27785	6.3.3.3	R03182
rxn39281		R01078
rxn39955		R09543
rxn40014		R10115
rxn40015		R10116
rxn40016		R10117
rxn40017		R10118
rxn40018		R10119
rxn40019		R10120
rxn40020		R10121
rxn40021		R10122
rxn40022	1.14.15.12	R10123
