id	ec_numbers	KEGG
rxn00018	4.1.1.39	R00024
rxn00151	2.7.9.1	R00206
rxn00159	1.1.1.38|1.1.1.39	R00214
rxn00161	1.1.1.40	R00216
rxn00191	2.6.1.2	R00258
rxn00247	4.1.1.49	R00341
rxn00248	1.1.1.299|1.1.1.37	R00342
rxn00249	1.1.1.299|1.1.1.82	R00343
rxn00251	4.1.1.31	R00345
rxn00260	2.6.1.1	R00355
rxn00548	4.1.2.22	R00761
rxn00549	3.1.3.11	R00762
rxn00747	5.3.1.1	R01015
rxn00777	5.3.1.6	R01056
rxn00781	1.2.1.12|1.2.1.59	R01061
rxn00782	1.2.1.13|1.2.1.59	R01063
rxn00785	2.2.1.1	R01067
rxn00786	4.1.2.13	R01068
rxn01100	2.7.2.3	R01512
rxn01111	2.7.1.19	R01523
rxn01116	5.1.3.1	R01529
rxn01187	4.1.2.22|4.1.2.9	R01621
rxn01200	2.2.1.1	R01641
rxn01334	4.1.2.-|4.1.2.13	R01829
rxn01344	2.7.1.14	R01844
rxn01345	3.1.3.11|3.1.3.37	R01845
rxn15060	4.1.2.22	R00761
rxn15114	5.3.1.6	R01056
rxn15228	2.2.1.1	R01641
rxn15272	2.7.1.14	R01844
rxn17199	1.2.1.13|1.2.1.59	R01063
rxn19762	1.2.1.12|1.2.1.59	R01061
rxn20068	1.1.1.299|1.1.1.37	R00342
rxn20158	1.1.1.299|1.1.1.82	R00343
rxn20544	2.7.2.3	R01512
rxn20655	2.7.9.1	R00206
rxn20788	4.1.1.39	R00024
rxn23652	1.1.1.299|1.1.1.37	R00342
rxn27386	5.3.1.1	R01015
rxn27459	1.1.1.38|1.1.1.39	R00214
rxn27495	2.2.1.1	R01641
rxn27697	2.6.1.2	R00258
rxn27698	2.6.1.2	R00258
rxn27719	2.6.1.1	R00355
rxn27720	2.6.1.1	R00355
rxn27871	1.2.1.12|1.2.1.59	R01061
rxn27976	1.1.1.299|1.1.1.37	R00342
rxn27982	1.1.1.40	R00216
rxn27983	1.1.1.40	R00216
rxn28078	2.7.1.19	R01523
rxn28141	5.3.1.6	R01056
rxn28146	5.1.3.1	R01529
rxn28981	4.1.2.-|4.1.2.13	R01829
rxn28982	3.1.3.11|3.1.3.37	R01845
rxn30355	2.6.1.1	R00355
rxn31076	3.1.3.11|3.1.3.37	R01845
rxn31211	2.6.1.2	R00258
rxn31213	1.1.1.299|1.1.1.82	R00343
rxn31218	3.1.3.11	R00762
rxn31335	4.1.2.13	R01068
rxn31366	2.2.1.1	R01067
rxn31389	1.1.1.38|1.1.1.39	R00214
rxn31868	4.1.2.-|4.1.2.13	R01829
rxn32421	4.1.1.31	R00345
rxn33035	5.3.1.1	R01015
rxn33873	3.1.3.11|3.1.3.37	R01845
rxn34245	1.1.1.299|1.1.1.37	R00342
rxn34267	5.3.1.6	R01056
rxn34273	2.2.1.1	R01641
rxn35241	2.7.2.3	R01512
rxn35519	4.1.1.49	R00341
rxn37872	1.1.1.38|1.1.1.39	R00214
rxn37888	1.2.1.13|1.2.1.59	R01063
rxn38028	2.6.1.2	R00258
rxn38029	2.6.1.2	R00258
rxn38113	1.2.1.12|1.2.1.59	R01061
rxn38256	2.7.2.3	R01512
rxn38257	2.7.2.3	R01512
rxn38263	2.7.1.19	R01523
rxn38284	5.3.1.6	R01056
rxn38286	4.1.1.39	R00024
