id	ec_numbers	KEGG
rxn01675	2.7.7.24	R02328
rxn01997	4.2.1.46	R06513
rxn01999	2.6.1.33	R02773
rxn02000	5.1.3.13	R06514
rxn02002	1.1.1.134|1.1.1.344	R02776
rxn02003	1.1.1.133	R02777
rxn03806	5.3.2.4	R06424
rxn03814	2.1.1.234	R06427
rxn03957	1.1.1.266	R05687
rxn04285	2.6.1.89	R06423
rxn04288	2.6.1.-	R06426
rxn04290	4.2.1.-	R06428
rxn04291		R06429
rxn04292	1.17.1.-	R06430
rxn04294		R06432
rxn04295		R06433
rxn04296		R06434
rxn04297	2.1.1.-	R06435
rxn04298	1.1.1.-	R06436
rxn04299	5.1.3.27	R06437
rxn04300		R06438
rxn04301	2.1.1.235	R06439
rxn04302		R06440
rxn04303		R06441
rxn04305		R06443
rxn14035	2.1.1.-	R08595
rxn14293	4.3.1.-	R08583
rxn14295	5.3.1.-	R08593
rxn14366	2.6.1.-	R08594
rxn14389		R06436
rxn15758		R08598
rxn15868		R08927
rxn15869		R08928
rxn15870		R08929
rxn15871		R08930
rxn15872	2.6.1.-|2.6.1.110	R08931
rxn15873	2.1.1.-|2.1.1.324	R08932
rxn15874	1.1.1.-	R08935
rxn16855	1.1.1.134|1.1.1.344	R02776
rxn19641	5.1.3.13	R06514
rxn19642	1.1.1.133	R02777
rxn30661	4.2.1.46	R06513
rxn32259	1.1.1.133	R02777
rxn32607	4.2.1.46	R06513
rxn33180	4.2.1.46	R06513
rxn33182	4.2.1.46	R06513
rxn33709	2.7.7.24	R02328
rxn33710	2.7.7.24	R02328
rxn33714	2.7.7.24	R02328
rxn33715	2.7.7.24	R02328
rxn38091	1.1.1.133	R02777
rxn38092	1.1.1.133	R02777
rxn39717		R06423
rxn39718		R06426
rxn39719		R06430
rxn39720	1.1.1.364	R06438
rxn39911		R08583
rxn39913		R08594
rxn39914		R08595
rxn40067	1.1.1.339	R10190
rxn40124	5.1.3.25	R10279
rxn40252		R10458
rxn40253		R10459
rxn40331		R10573
