id	ec_numbers	KEGG
rxn00216	2.7.1.1|2.7.1.2	R00299
rxn00879	1.1.1.18	R01183
rxn00883	3.1.3.25	R01187
rxn01593	2.7.1.72	R02225
rxn01596	3.1.3.39	R02228
rxn01675	2.7.7.24	R02328
rxn01997	4.2.1.46	R06513
rxn02000	5.1.3.13	R06514
rxn02003	1.1.1.133	R02777
rxn02006	2.6.1.50	R02781
rxn02426	2.7.1.65	R03384
rxn02488	2.1.4.2	R03477
rxn02499	3.1.3.40	R03496
rxn02502	2.6.1.56	R03502
rxn02947	2.4.2.27	R04222
rxn03804		R05515
rxn03805		R05516
rxn03836		R05547
rxn04233		R06365
rxn05072	5.5.1.4	R07324
rxn06928		R05512
rxn12204	5.4.2.2	R08639
rxn14189	2.7.1.-	R08844
rxn15668	5.5.1.4	R07324
rxn15669	5.5.1.4	R07324
rxn15817		R08843
rxn19641	5.1.3.13	R06514
rxn19642	1.1.1.133	R02777
rxn20219	5.5.1.4	R07324
rxn27224	3.1.3.39	R02228
rxn28001	3.1.3.25	R01187
rxn30661	4.2.1.46	R06513
rxn32259	1.1.1.133	R02777
rxn32550	5.5.1.4	R07324
rxn32607	4.2.1.46	R06513
rxn33180	4.2.1.46	R06513
rxn33182	4.2.1.46	R06513
rxn33709	2.7.7.24	R02328
rxn33710	2.7.7.24	R02328
rxn33714	2.7.7.24	R02328
rxn33715	2.7.7.24	R02328
rxn34232	2.7.1.1|2.7.1.2	R00299
rxn38091	1.1.1.133	R02777
rxn38092	1.1.1.133	R02777
rxn38173	5.5.1.4	R07324
rxn38174	5.5.1.4	R07324
rxn39506		R05547
rxn39922		R08844
