id	ec_numbers	KEGG
rxn00524	1.14.18.1	R00731
rxn01497	1.10.3.1|1.14.18.1	R02078
rxn01499	4.1.1.25|4.1.1.28	R02080
rxn02994	2.1.1.6	R04301
rxn11972		R02962
rxn13960	2.4.1.-	R08830
rxn13968	1.10.3.-	R08832
rxn13970	2.4.1.-	R08824
rxn14075	2.4.1.-	R08822
rxn14206	2.4.1.-	R08817
rxn14211	2.3.1.-	R08823
rxn14223	1.10.3.-	R08828
rxn14249	2.4.1.-	R08816
rxn14330	1.14.18.-	R08826
rxn14335	2.3.1.-	R08819
rxn15801		R08818
rxn15802	2.3.1.-	R08819
rxn15803	2.3.1.-	R08819
rxn15804		R08820
rxn15805		R08821
rxn15806	2.3.1.-	R08823
rxn15807	2.3.1.-	R08823
rxn15808		R08825
rxn15809		R08827
rxn15810		R08829
rxn15811		R08831
rxn15812		R08833
rxn15813		R08834
rxn15814		R08835
rxn15815		R08837
rxn27001	2.1.1.6	R04301
