id	ec_numbers	KEGG
rxn00178	2.3.1.9	R00238
rxn00290	2.8.3.5	R00410
rxn00602	5.4.99.2	R00833
rxn00676	2.3.1.16|2.3.1.9	R00927
rxn00804	1.4.1.9	R01088
rxn00806	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn00807	5.4.3.7	R01091
rxn00903	2.6.1.42|2.6.1.6	R01214
rxn00991	4.1.3.4	R01360
rxn01045	1.4.1.-|1.4.1.23|1.4.1.9	R01434
rxn01355	6.4.1.3	R01859
rxn01454	2.3.3.10|4.1.3.5	R01978
rxn01504	4.2.1.18	R02085
rxn01574	1.4.3.2	R02197
rxn01575	2.6.1.42	R02199
rxn01925	2.3.1.168	R02662
rxn01996	5.1.99.1	R02765
rxn02729	1.2.1.3	R03869
rxn02783	1.4.1.9	R03960
rxn02866	1.3.8.4|1.3.99.10|1.3.99.3	R04095
rxn02888	4.2.1.17	R04137
rxn02889	6.4.1.4	R04138
rxn02925	2.6.1.18	R04187
rxn02926	2.6.1.22	R04188
rxn02933	1.1.1.178|1.1.1.35	R04203
rxn02934	4.2.1.17	R04204
rxn02949	4.2.1.17	R04224
rxn03433	3.1.2.4	R05064
rxn06334	1.3.8.1|1.3.99.12|1.3.99.3	R03172;R03173
rxn06335	2.3.1.168	R03174
rxn06586	2.3.1.168	R04097
rxn07430	1.2.4.4	R07599
rxn07431	1.2.4.4	R07600
rxn07432	1.2.4.4	R07601
rxn07433	1.2.4.4	R07602
rxn07434	1.2.4.4	R07603
rxn07435	1.2.4.4	R07604
rxn11475	1.2.3.1	R03871
rxn13962	1.2.7.7	R07160
rxn14109	1.2.7.7	R08567
rxn14152	1.2.7.7	R08566
rxn14277	1.3.8.1|1.3.99.-|1.3.99.12|1.3.99.3	R02661
rxn15094	1.2.1.27	R00935
rxn15392	1.3.8.1|1.3.99.12|1.3.99.3	R03172;R03173
rxn15510	1.1.1.31|1.1.1.35	R05066
rxn15694	1.8.1.4	R07618
rxn19031	2.3.1.9	R00238
rxn19240	2.6.1.42	R02199
rxn19241	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn19242	2.6.1.42|2.6.1.6	R01214
rxn20197	2.3.1.16|2.3.1.9	R00927
rxn20202	5.4.99.2	R00833
rxn20619	6.4.1.3	R01859
rxn27332	4.2.1.17	R04204
rxn27737	2.6.1.42	R02199
rxn27738	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn27739	2.6.1.42|2.6.1.6	R01214
rxn27937	4.1.3.4	R01360
rxn27956	1.3.8.4|1.3.99.10|1.3.99.3	R04095
rxn27997	6.4.1.4	R04138
rxn27998	4.2.1.18	R02085
rxn30395	2.3.3.10|4.1.3.5	R01978
rxn30550	1.4.1.9	R01088
rxn30554	1.4.1.-|1.4.1.23|1.4.1.9	R01434
rxn30733	4.2.1.18	R02085
rxn31091	4.2.1.17	R04204
rxn31209	2.3.1.9	R00238
rxn31210	2.3.1.9	R00238
rxn31238	2.3.1.168	R02662
rxn31329	1.8.1.4	R07618
rxn31755	4.2.1.17	R04204
rxn31839	1.1.1.178|1.1.1.35	R04203
rxn31920	1.2.3.1	R03871
rxn31922	1.2.3.1	R03871
rxn31928	1.2.3.1	R03871
rxn31931	1.2.3.1	R03871
rxn32471	4.2.1.18	R02085
rxn32713	1.2.1.3	R03869
rxn32717	1.2.1.3	R03869
rxn32720	1.2.1.3	R03869
rxn33120	2.3.1.16|2.3.1.9	R00927
rxn35536		R03869
rxn35538	2.3.1.168	R02662
rxn35541	4.2.1.17	R04137
rxn35544	1.1.1.31|1.1.1.35	R05066
rxn35545	1.1.1.178|1.1.1.35	R04203
rxn35548	1.2.1.27	R00935
rxn35549	1.2.4.4	R07599
rxn35551	1.2.4.4	R07600
rxn35553	1.2.4.4	R07603
rxn35554	1.2.4.4	R07601
rxn37861	4.2.1.17	R04204
rxn38053	2.6.1.42	R02199
rxn38054	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn38055	2.6.1.42|2.6.1.6	R01214
rxn39350		R02662
rxn39382		R03172
rxn39383		R03174
rxn39430		R03871
rxn39442		R04097
rxn39449		R04187
rxn39450	2.6.1.22	R04188
rxn39480		R05064
rxn39826		R07600
rxn39827		R07602
rxn39828		R07604
rxn39909		R08567
