id	ec_numbers	KEGG
rxn00213	2.7.7.9	R00289
rxn00214	5.1.3.2	R00291
rxn00355	2.7.7.10	R00502
rxn00356	2.4.1.22	R00503;R06067
rxn00358	5.4.99.9	R00505
rxn00575	3.2.1.10|3.2.1.20|3.2.1.48	R00801;R06087
rxn00701	2.7.7.12	R00955
rxn00704	5.4.2.2|5.4.2.5	R00959;R08639
rxn00783	4.1.2.21|4.1.2.55	R01064
rxn00787	4.1.2.40	R01069
rxn00808	2.7.1.6	R01092
rxn00810	1.1.1.48	R01094
rxn00812	1.1.1.120|1.1.1.359|1.1.1.360|1.1.1.48	R01096
rxn00813	1.1.1.120|1.1.1.48	R01097
rxn00814	1.1.3.9	R01098
rxn00817	3.2.1.22	R01101;R06091
rxn00818	3.2.1.22	R01103;R06070
rxn00819	3.2.1.22	R01104
rxn00888	2.4.1.123	R01192;R06214
rxn00890	3.2.1.22	R01194;R06093
rxn00977	3.2.1.22	R01329;R06142
rxn01737	3.2.1.26	R02410;R06100
rxn01738	2.4.1.82	R02411;R06071
rxn02093	3.2.1.22	R02926
rxn02094	2.7.1.101	R02927
rxn02095	1.1.1.16	R02928
rxn02173	4.2.1.6	R03033
rxn02174	3.1.1.25	R03034
rxn02314	2.7.1.11|2.7.1.144|2.7.1.56	R03236
rxn02315	2.7.1.11	R03237
rxn02316	2.7.1.11	R03238
rxn02317	2.7.1.11	R03239
rxn02318	5.3.1.26	R03240
rxn02332	3.2.1.85	R03256;R06110
rxn02429	2.7.1.178|2.7.1.58	R03387
rxn02451	2.4.1.67	R03418;R06042
rxn02596	3.2.1.22	R03634;R06152
rxn02597	3.2.1.26	R03635;R06101
rxn03504	3.5.1.25	R05168
rxn03838	3.2.1.22	R05549;R06096
rxn03856	1.1.1.-|1.1.1.251	R05571
rxn05852	2.4.1.-|2.4.1.205	R00506
rxn05929	3.2.1.145|3.2.1.23|3.2.1.M17|3.2.1.M18	R01105
rxn06677	2.7.1.69	R04393;R06237
rxn06934	2.7.1.69	R05570
rxn07000	3.2.1.22|3.2.1.23	R01105
rxn07043	3.2.1.145|3.2.1.23	R01105
rxn11551	1.1.1.21	R01093
rxn11552	1.1.1.21	R01095
rxn11877	5.3.1.-	R08365
rxn11878	2.7.1.69	R08366
rxn11879	2.7.1.69	R08367
rxn12185	1.1.1.121|1.1.1.48	R08544
rxn15047	2.4.1.22	R00503
rxn15048	2.4.1.22	R00503
rxn15067	3.2.1.10|3.2.1.20	R00801;R06087
rxn15068	3.2.1.10|3.2.1.20|3.2.1.26	R00801;R06087
rxn15120	2.7.1.6	R01092
rxn15121	2.7.1.6	R01092
rxn15122	1.1.1.21	R01093
rxn15123	1.1.1.21	R01093
rxn15124	1.1.1.48	R01094
rxn15125	1.1.1.48	R01094
rxn15126	1.1.1.21	R01095
rxn15127	1.1.1.21	R01095
rxn15128	1.1.1.120	R01096
rxn15129	1.1.1.120	R01096
rxn15130	1.1.1.120	R01097
rxn15131	1.1.1.120	R01097
rxn15132	1.1.3.9	R01098
rxn15133	1.1.3.9	R01098
rxn15139	3.2.1.22	R01101;R06091
rxn15140	3.2.1.22	R01103;R06070
rxn15141	3.2.1.-|3.2.1.22	R01103;R06070
rxn15142	3.2.1.22	R01104
rxn15143	3.2.1.22	R01104
rxn15152	3.2.1.22	R01194;R06093
rxn15153	3.2.1.22	R01194;R06093
rxn15179	3.2.1.22	R01329;R06142
rxn15230	3.2.1.108|3.2.1.23	R01678;R06098
rxn15249	2.7.1.1|2.7.1.2	R01786
rxn15250	3.1.3.9	R01788
rxn15379	3.2.1.22	R02926
rxn15380	3.2.1.22	R02926
rxn15417	3.2.1.22	R03634;R06152
rxn15418	3.2.1.22	R03634;R06152
rxn15459	2.7.1.69	R04393
rxn15541	3.2.1.22	R05549;R06096
rxn15728	2.7.1.69	R08366
rxn15742	1.1.1.121	R08544
rxn15743	1.1.1.121	R08544
rxn15773	5.4.2.2|5.4.2.5	R00959;R08639
rxn20583	5.4.2.2	R00959
rxn22376	1.1.1.21	R01095
rxn23720	2.7.1.1|2.7.1.2	R01786
rxn29945	2.7.7.10	R00502
rxn30434	3.2.1.10|3.2.1.20|3.2.1.48	R00801;R06087
rxn31313	3.1.3.9	R01788
rxn31422	3.2.1.108|3.2.1.23	R01678;R06098
rxn31772	3.2.1.22	R01194;R06093
rxn31954	3.2.1.26	R02410;R06100
rxn32406	2.7.1.6	R01092
rxn32409	2.7.1.6	R01092
rxn32492	2.7.1.11	R03238
rxn32571	2.7.1.11	R03239
rxn32803	2.7.1.11	R03237
rxn32940	3.2.1.22	R01103;R06070
rxn33087	2.7.1.11|2.7.1.144|2.7.1.56	R03236
rxn33104	3.2.1.10|3.2.1.20|3.2.1.48	R00801;R06087
rxn33194	2.4.1.123	R01192;R06214
rxn33195	2.4.1.123	R01192;R06214
rxn33199	2.4.1.123	R01192;R06214
rxn33267	2.7.1.1|2.7.1.2	R01786
rxn33302	3.2.1.22	R03634;R06152
rxn33454	2.4.1.67	R03418;R06042
rxn33456	2.4.1.67	R03418;R06042
rxn33468	2.4.1.67	R03418;R06042
rxn33485	3.2.1.10|3.2.1.20|3.2.1.26	R00801;R06087
rxn33488	3.2.1.10|3.2.1.20|3.2.1.26	R00801;R06087
rxn33514	5.1.3.2	R00291
rxn33560	3.2.1.26	R03635;R06101
rxn33571	5.4.2.2	R00959
rxn33683	2.4.1.82	R02411;R06071
rxn33867	5.4.2.2|5.4.2.5	R00959;R08639
rxn33931	5.1.3.2	R00291
rxn34769	3.2.1.22	R01329;R06142
rxn34770	2.7.1.6	R01092
rxn34771	1.1.3.9	R01098
rxn34772	3.2.1.22	R01104
rxn34773	2.4.1.67	R03418;R06042
rxn34777	3.2.1.22	R02926
rxn34778	3.2.1.22	R05549;R06096
rxn34779	3.2.1.22	R01194;R06093
rxn34781	3.2.1.22	R01103;R06070
rxn34785	3.2.1.22	R03634;R06152
rxn35560	3.2.1.108	R01678
rxn37863	5.1.3.2	R00291
rxn37930	2.4.1.67	R03418;R06042
rxn38117	2.7.7.9	R00289
rxn38341	3.2.1.22	R03634;R06152
rxn38342	3.2.1.-|3.2.1.22	R01103;R06070
rxn38359	2.7.1.1|2.7.1.2	R01786
rxn38827	5.1.3.2	R00291
rxn38829	5.1.3.2	R00291
rxn40356		R10604
rxn40366		R10616
rxn40368		R10619
