id	ec_numbers	KEGG
rxn00188	3.5.1.87	R00254
rxn00201		R00270
rxn00375	3.5.1.68	R00525
rxn00376	3.5.1.15|3.5.1.8	R00526
rxn00789	2.4.2.17	R01071
rxn00860	2.1.1.-	R01159
rxn00862	2.6.1.38	R01161
rxn00863	1.1.1.23	R01163
rxn00864	6.3.2.11	R01164
rxn00865	3.4.13.18|3.4.13.20	R01166
rxn00866	4.1.1.22|4.1.1.28	R01167
rxn00867	4.3.1.3	R01168
rxn01546	2.1.1.22	R02144
rxn01550	1.4.3.22	R02150
rxn01551	2.3.1.-	R02152
rxn01554	2.1.1.8	R02155
rxn01639	3.5.3.8	R02285
rxn01640	3.5.3.13	R02286
rxn01641	2.1.2.5	R02287
rxn01642	3.5.2.7	R02288
rxn02085	4.2.1.49	R02914
rxn02159	1.1.1.23	R03012
rxn02160	3.1.3.15	R03013
rxn02282	3.5.3.5	R03188
rxn02320	2.6.1.9	R03243
rxn02352	6.3.2.11	R03286
rxn02353	3.4.13.20|3.4.13.5	R03288
rxn02473	4.2.1.19	R03457
rxn02834	3.6.1.31	R04035
rxn02835	3.5.4.19	R04037
rxn02853	1.2.1.3	R04065
rxn02854	1.14.13.5	R04066
rxn02855	6.3.4.8	R04068
rxn02942	3.5.2.-	R04214
rxn03090		R04479
rxn03135	2.4.2.-|4.1.3.-|4.3.2.10	R04558
rxn03175	5.3.1.16	R04640
rxn03195	1.4.3.4	R04674
rxn03328		R04874
rxn03329		R04875
rxn03330	1.1.1.111	R04876
rxn03331		R04877
rxn03400	1.2.1.5	R04996
rxn06807		R04878
rxn11596		R04282
rxn11597		R04283
rxn11630		R04879
rxn14097	2.1.1.44	R01169
rxn14394	1.14.13.-|1.17.3.-|1.17.3.2	R00069
rxn19011	6.3.4.8	R04068
rxn19213	2.4.2.17	R01071
rxn19261	6.3.2.11	R01164
rxn19830	2.4.2.-|4.1.3.-|4.3.2.10	R04558
rxn19892	1.1.1.23	R01163
rxn19893	3.5.4.19	R04037
rxn19896	1.1.1.23	R03012
rxn19898	3.6.1.31	R04035
rxn19924	4.2.1.19	R03457
rxn20608	5.3.1.16	R04640
rxn27926	2.6.1.9	R03243
rxn27927	3.1.3.15	R03013
rxn30486	4.3.1.3	R01168
rxn30697	3.5.4.19	R04037
rxn30698	3.1.3.15	R03013
rxn30708	4.2.1.19	R03457
rxn31428	1.4.3.22	R02150
rxn31607		R04283
rxn32108	3.5.3.5	R03188
rxn32110	3.5.3.5	R03188
rxn32111	3.5.3.5	R03188
rxn32258	3.5.2.-	R04214
rxn32262	3.5.2.-	R04214
rxn32291	3.5.2.-	R04214
rxn32344	4.1.1.22|4.1.1.28	R01167
rxn32347	4.1.1.22|4.1.1.28	R01167
rxn32515	1.2.1.3	R04065
rxn32516	1.2.1.3	R04065
rxn32671	1.14.13.5	R04066
rxn32672	1.14.13.5	R04066
rxn32730	3.5.1.15|3.5.1.8	R00526
rxn32731	3.5.1.15|3.5.1.8	R00526
rxn32757	3.5.1.15|3.5.1.8	R00526
rxn33284	2.6.1.9	R03243
rxn33622	1.4.3.22	R02150
rxn35251	1.4.3.22	R02150
rxn35319		R00270
rxn36750	1.1.1.111	R04876
rxn38148	2.6.1.9	R03243
rxn39388		R03286
rxn39455		R04283
rxn40162	1.3.99.33	R10330
