id	ec_numbers	KEGG
rxn00011	1.2.4.1|2.2.1.6|4.1.1.1	R00014
rxn00199	1.1.1.42|4.1.1.-	R00268
rxn00247	4.1.1.49	R00341
rxn00248	1.1.1.299|1.1.1.37	R00342
rxn00250	6.4.1.1	R00344
rxn00256	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7	R00351
rxn00257	2.3.3.8	R00352
rxn00285	6.2.1.5	R00405
rxn00305	4.1.1.32	R00431
rxn00306	6.2.1.4	R00432
rxn00441	1.2.4.2	R00621
rxn00505	1.1.1.286|1.1.1.41	R00709
rxn00519	4.1.1.32	R00726
rxn00520	6.2.1.4	R00727
rxn00799	4.2.1.2	R01082
rxn00974	4.2.1.3|4.2.1.4	R01325
rxn01387	1.1.1.42	R01899
rxn01388	4.2.1.3	R01900
rxn01871	2.3.1.12	R02569
rxn01872	2.3.1.61	R02570
rxn02342	1.2.4.1	R03270
rxn02376	1.2.4.2	R03316
rxn05815	1.1.5.4	R00361
rxn06109	1.3.5.1	R02164
rxn13974	1.2.7.-|1.2.7.1	R01196
rxn14048	1.2.7.3	R01197
rxn15056	1.1.1.286|1.1.1.41	R00709
rxn15057	1.1.1.286	R00709
rxn15278	1.1.1.-|1.1.1.42	R01899
rxn15279	1.1.1.42	R01899
rxn15280	4.2.1.3	R01900
rxn15281	4.2.1.3	R01900
rxn15694	1.8.1.4	R07618
rxn19039	4.2.1.3|4.2.1.4	R01325
rxn19040	4.2.1.3	R01900
rxn19316	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7	R00351
rxn19485	2.3.1.12	R02569
rxn19740	4.2.1.2	R01082
rxn20068	1.1.1.299|1.1.1.37	R00342
rxn23652	1.1.1.299|1.1.1.37	R00342
rxn25050	1.1.1.42|4.1.1.-	R00268
rxn25051	1.1.1.42|4.1.1.-	R00268
rxn25164	2.8.3.18	R10343
rxn25165	2.8.3.18	R10343
rxn25947	1.1.1.-|1.1.1.42	R01899
rxn25948	1.1.1.-|1.1.1.42	R01899
rxn27228	6.2.1.4	R00432
rxn27765	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7	R00351
rxn27955	1.1.1.286|1.1.1.41	R00709
rxn27976	1.1.1.299|1.1.1.37	R00342
rxn28116	6.4.1.1	R00344
rxn28991	6.2.1.5	R00405
rxn30141	1.1.1.286|1.1.1.41	R00709
rxn30142	1.1.1.42	R01899
rxn30149	2.3.1.12	R02569
rxn30301	2.3.1.61	R02570
rxn30341	2.3.1.61	R02570
rxn30619	4.2.1.3|4.2.1.4	R01325
rxn30620	4.2.1.3	R01900
rxn30643	1.3.5.1	R02164
rxn31217	1.2.4.2	R00621
rxn31223	4.2.1.3|4.2.1.4	R01325
rxn31226	4.2.1.3	R01900
rxn31235	2.3.1.61	R02570
rxn31242	1.2.4.1	R03270
rxn31243	1.2.4.2	R03316
rxn31329	1.8.1.4	R07618
rxn31360	1.2.4.1|2.2.1.6|4.1.1.1	R00014
rxn31361	1.2.4.1|2.2.1.6|4.1.1.1	R00014
rxn31433		R02569
rxn32167	1.1.1.42	R01899
rxn32171	1.1.1.42	R01899
rxn32388	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7	R00351
rxn32587	4.2.1.3	R01900
rxn32588	4.2.1.3	R01900
rxn32589	4.2.1.3	R01900
rxn33091	2.3.3.8	R00352
rxn33092	2.3.3.8	R00352
rxn33227	4.2.1.3|4.2.1.4	R01325
rxn33231	4.2.1.3|4.2.1.4	R01325
rxn33785	6.2.1.4	R00727
rxn33856	4.2.1.2	R01082
rxn33857	4.2.1.2	R01082
rxn33858	4.2.1.2	R01082
rxn34204	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7	R00351
rxn34245	1.1.1.299|1.1.1.37	R00342
rxn34253	1.2.4.1	R03270
rxn34254	1.2.4.1	R03270
rxn34255	2.3.1.12	R02569
rxn34304	4.2.1.3	R01900
rxn35453	1.2.7.-|1.2.7.1	R01196
rxn35519	4.1.1.49	R00341
rxn38077	2.3.1.12	R02569
rxn39263		R00361
rxn39326		R02164
rxn39387		R03270
rxn48571	1.3.5.1	R02164
