id	ec_numbers	KEGG
rxn00028	1.10.3.3	R00068
rxn00071	1.6.5.4	R00095
rxn00196	1.2.1.26|1.2.1.3	R00264
rxn00211	1.1.1.22	R00286
rxn00443	1.3.2.3	R00640
rxn00444	1.11.1.11	R00644
rxn00445	1.3.3.12	R00643
rxn00448	1.13.11.13	R00646
rxn00449	1.1.3.8	R00647
rxn00643	5.1.3.18	R00889
rxn00821	1.8.5.1	R01108
rxn00880	1.13.99.1	R01184
rxn01005	2.7.7.44	R01381
rxn01076	2.7.1.43	R01476
rxn01079	1.1.1.19	R01481
rxn01081	3.1.1.19	R01483
rxn01289	1.1.1.46	R01757
rxn01307	4.1.2.18|4.1.2.28	R01784
rxn01633	4.2.1.141|4.2.1.43	R02278
rxn01634	4.2.1.41	R02279
rxn01828	4.2.1.25	R02522
rxn01830	3.1.1.15	R02526
rxn01911	1.1.1.130	R02637
rxn01912	1.1.1.130	R02639
rxn01989	4.2.1.40	R02752
rxn01990	4.1.2.20	R02754
rxn02100	3.1.1.17|3.1.1.25	R02933
rxn02122	1.2.1.3	R02957
rxn02278	1.1.1.20	R03183
rxn02279	1.1.3.8	R03184
rxn02280	1.11.1.11	R03186
rxn02321	5.-.-.-|5.1.3.1|5.1.3.22	R03244
rxn02346	4.1.2.20	R03277
rxn02651	1.1.1.129	R03733
rxn03111	4.1.1.-	R04515
rxn03274	4.1.1.-	R04784
rxn03275	3.1.1.17	R04785
rxn03887	4.2.1.42	R05608
rxn04082	5.1.3.4	R05850
rxn04928	4.1.1.85	R07125
rxn04930	2.7.1.53	R07127
rxn05974	3.7.1.-	R01335
rxn06670	1.1.1.-	R04375
rxn07486	2.7.1.69	R07671
rxn07487	5.1.3.-|5.1.3.18	R07672
rxn07488	5.1.3.-	R07673
rxn07489	3.1.3.-|3.1.3.93	R07674
rxn07490	1.1.1.122|1.1.1.316	R07675
rxn07491	1.1.1.-|1.1.1.365	R07676
rxn07492	3.1.1.-	R07677
rxn07493	2.7.7.-|2.7.7.69	R07678
rxn07494	1.3.2.3	R07679
rxn07495	3.1.1.-	R07680
rxn07845	4.2.1.40	R08056
rxn14128		R03185
rxn14144	2.4.1.17|3.2.1.-	R08615
rxn14195	1.14.-.-	R00645
rxn15151	1.13.99.1	R01184
rxn15209	2.7.1.43	R01476
rxn15212	1.1.1.19	R01481
rxn15214	3.1.1.19	R01483
rxn15236	1.1.1.46	R01757
rxn15237	1.1.1.46	R01757
rxn15697	1.1.1.-	R07676
rxn15770	2.4.1.17|3.2.1.-	R08615
rxn17276	1.8.5.1	R01108
rxn27489	1.6.5.4	R00095
rxn27962	1.11.1.11	R00644
rxn31053	3.1.3.-|3.1.3.93	R07674
rxn31751	5.1.3.18	R00889
rxn31753	5.1.3.18	R00889
rxn31892	1.1.1.20	R03183
rxn31893	1.1.1.20	R03183
rxn32055	1.11.1.11	R03186
rxn32056	1.11.1.11	R03186
rxn32113	1.2.1.3	R02957
rxn32117	1.2.1.3	R02957
rxn32232	4.2.1.40	R02752
rxn32235	4.2.1.40	R02752
rxn32244	4.2.1.40	R02752
rxn32311	2.7.1.43	R01476
rxn32560	1.1.1.19	R01481
rxn32593	4.2.1.42	R05608
rxn32598	4.2.1.42	R05608
rxn32599	4.2.1.42	R05608
rxn32841	2.7.7.-|2.7.7.69	R07678
rxn32924	3.1.1.17|3.1.1.25	R02933
rxn32941	1.6.5.4	R00095
rxn32953	1.6.5.4	R00095
rxn33148	1.13.99.1	R01184
rxn33155	1.13.99.1	R01184
rxn33425	1.8.5.1	R01108
rxn33449	1.10.3.3	R00068
rxn33465	1.10.3.3	R00068
rxn33628	3.1.3.-|3.1.3.93	R07674
rxn33639	1.11.1.11	R00644
rxn33862	5.-.-.-|5.1.3.1|5.1.3.22	R03244
rxn38163	1.10.3.3	R00068
rxn39884		R08056
