id	ec_numbers	KEGG
rxn00054	1.10.3.4	R00074
rxn00178	2.3.1.9	R00238
rxn00473	4.1.99.1	R00673
rxn00477	1.4.3.2	R00677
rxn00478	1.13.11.11|1.13.11.52	R00678
rxn00479	1.13.12.3	R00679
rxn00480	1.13.99.3	R00681
rxn00483	2.6.1.27	R00684
rxn00484	4.1.1.105|4.1.1.28	R00685
rxn00724	1.13.11.23	R00983
rxn00728	3.7.1.3	R00987
rxn00729	3.5.1.9	R00988
rxn00732		R00991
rxn01325	1.14.16.4	R01814
rxn01327	1.14.16.3	R01816
rxn01418	1.2.4.2|1.8.1.4|2.3.1.61	R01933
rxn01421	1.5.1.-	R01937
rxn01422	1.5.1.-	R01938
rxn01435	2.6.1.7	R01956
rxn01437	3.5.1.9	R01959
rxn01438	1.14.13.9	R01960
rxn01447	1.1.1.110	R01971
rxn01449	2.1.1.47	R01973
rxn01450	4.1.1.43|4.1.1.74	R01974
rxn01451	1.1.1.211|1.1.1.35	R01975
rxn01564	1.4.3.22|1.4.3.4|1.4.3.6	R02173
rxn01565	2.1.1.49	R02174
rxn01680	1.13.11.17	R02338
rxn01927	1.13.11.6	R02665
rxn01930	3.7.1.3	R02668
rxn01937	1.2.1.3	R02678
rxn01938	1.1.1.190	R02679
rxn01939	1.1.1.191|1.1.1.2	R02680
rxn01947	2.6.1.27	R02700
rxn01948	4.1.1.28	R02701
rxn01949	1.13.11.52	R02702
rxn02081	1.4.3.4	R02908
rxn02082	1.13.11.52	R02909
rxn02083	2.1.1.49	R02910
rxn02084	2.3.1.87	R02911
rxn02167	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn02218		R03092
rxn02219	3.5.5.1	R03093
rxn02222	3.5.1.4	R03096
rxn02223	1.13.11.-	R03097
rxn02244	2.1.1.4	R03130
rxn02328	1.3.1.18	R03251
rxn02329	1.13.11.10	R03253
rxn02463	1.14.99.2	R03439
rxn02464	1.14.99.2	R03440
rxn02592	1.13.11.52	R03628
rxn02732	1.7.3.2	R03873
rxn02743	3.5.99.5	R03887
rxn02744	1.2.1.32	R03889
rxn02767	3.7.1.3	R03936
rxn02781	2.1.1.-	R03955
rxn02823	4.2.1.84	R04020
rxn02864	4.99.1.6	R04093
rxn02865	3.2.1.147	R04094
rxn02912	2.6.1.7	R04171
rxn02913	4.1.1.-	R04172
rxn02989		R04293
rxn03003	4.1.1.45	R04323
rxn03354	1.2.1.3	R04903
rxn03356	2.1.1.4	R04905
rxn03357	6.3.2.-	R04906
rxn03358	1.4.3.4	R04907
rxn03359	1.4.3.4	R04908
rxn03360	4.1.1.28	R04909
rxn03361	1.3.1.-	R04910
rxn03362	3.5.1.9	R04911
rxn03365	1.2.1.-	R04916
rxn03366	1.2.1.-	R04917
rxn06172	1.3.99.7	R02488
rxn06213	2.1.1.-	R02671
rxn06427	1.14.14.1	R03629
rxn06513	1.7.3.2	R03873
rxn11560	1.14.16.-	R02339
rxn11631	1.2.3.1	R04904
rxn11632	2.6.1.-	R04913
rxn11701	2.4.1.195	R08164
rxn11704	2.8.2.-	R08167
rxn11962	1.11.1.21|1.11.1.6	R02670
rxn11964	1.2.3.7	R02681
rxn11970	2.1.1.-	R02912
rxn12018	1.14.-.-	R08168
rxn12019	4.4.1.-	R08170
rxn14001	2.5.1.-	R08605
rxn14002	1.14.13.125	R08160
rxn14082	1.14.13.-	R08604
rxn14354		R08168
rxn15446	3.2.1.147	R04094
rxn15447	3.2.1.147	R04094
rxn15763	1.7.3.-	R08606
rxn15765	2.5.1.-	R08609
rxn16359	1.14.14.8	R09517
rxn16863	1.1.1.190	R02679
rxn18925	4.1.1.43|4.1.1.74	R01974
rxn19031	2.3.1.9	R00238
rxn19669	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn20475	1.1.1.211|1.1.1.35	R01975
rxn20881	2.6.1.-|2.6.1.99	R10180
rxn21114	1.4.3.4	R02908
rxn21116	1.2.1.3	R04903
rxn23700	1.4.3.22|1.4.3.4|1.4.3.6	R02173
rxn23701	1.14.13.125	R08160
rxn27455	1.1.1.211|1.1.1.35	R01975
rxn28899	1.14.13.-|1.14.13.168	R10181
rxn30065	4.1.99.1	R00673
rxn30344	1.2.1.3	R02678
rxn30349	3.5.1.4	R03096
rxn30415	3.5.5.1	R03093
rxn30785	1.4.3.22|1.4.3.4|1.4.3.6	R02173
rxn30787	4.99.1.6	R04093
rxn30789	1.14.13.-	R08604
rxn31209	2.3.1.9	R00238
rxn31210	2.3.1.9	R00238
rxn31239	2.1.1.-	R02671
rxn31248	2.1.1.-	R03955
rxn31773	1.4.3.22|1.4.3.4|1.4.3.6	R02173
rxn31860	1.14.13.-	R08604
rxn31864	1.14.13.-	R08604
rxn31901	1.2.1.3	R02678
rxn32170	2.5.1.-	R08605
rxn32173	2.5.1.-	R08605
rxn32604	4.99.1.6	R04093
rxn32608	4.99.1.6	R04093
rxn32690	4.1.1.105|4.1.1.28	R00685
rxn32944		R08168
rxn32946		R08168
rxn33023	4.4.1.-	R08170
rxn33036	4.4.1.-	R08170
rxn33432	1.2.1.3	R04903
rxn33618	1.2.4.2|1.8.1.4|2.3.1.61	R01933
rxn33775	1.2.3.1	R04904
rxn33777	1.2.3.1	R04904
rxn34212	3.5.1.9	R01959
rxn34630	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn38356	3.5.5.1	R03093
rxn38701	3.5.1.4	R03096
rxn38702	3.5.1.4	R03096
rxn38818	2.6.1.27	R00684
rxn39343		R02488
rxn39351		R02671
rxn39437		R03955
