id	ec_numbers	KEGG
rxn01488	4.2.3.8	R02064
rxn01490	5.5.1.13	R02068
rxn02157	 1.14.11.13|1.14.11.13	R03008
rxn02158	 1.14.11.15|1.14.11.15	R03009
rxn02697	1.14.11.12	R03806
rxn02698	1.14.11.12	R03807
rxn02699	1.14.11.-|1.14.11.13	R03809
rxn03452	4.2.3.19	R05092
rxn03453	1.14.11.-|1.14.11.12	R05097
rxn04145		R06195
rxn04146		R06196
rxn04165	1.14.13.78	R06291
rxn04166	1.14.13.78	R06292
rxn04167	1.14.13.78	R06293
rxn04168	1.14.13.79	R06294
rxn04169	1.14.13.79	R06295
rxn04170	1.14.13.79	R06296
rxn04171	1.14.13.79	R06297
rxn04175	4.2.3.18	R06301
rxn04176	4.2.3.-|4.2.3.32	R06302
rxn04177	4.2.3.-|4.2.3.32	R06303
rxn04178	4.2.3.-|4.2.3.32	R06304
rxn04179	4.2.3.17	R06305
rxn04180	2.3.1.162	R06307
rxn04181	1.14.13.77	R06308
rxn04182	1.14.13.76	R06309
rxn04183	2.3.1.166	R06310
rxn04184	2.3.1.167	R06311
rxn04185	5.5.1.14	R06312
rxn04186	4.2.3.42	R06313
rxn04189		R06316
rxn04191		R06318
rxn04192		R06319
rxn04194		R06321
rxn04195	1.14.11.-|1.14.11.12	R06322
rxn04196	1.14.11.-|1.14.11.12	R06323
rxn04197		R06324
rxn04198		R06325
rxn04199	1.14.11.12	R06326
rxn04200		R06327
rxn04201		R06328
rxn04202		R06329
rxn04203		R06330
rxn04204		R06331
rxn04205		R06332
rxn04206		R06333
rxn04207		R06334
rxn04208	1.14.11.-	R06335
rxn04209	1.14.11.-|1.14.11.15	R06336
rxn04210	1.14.11.-|1.14.11.13	R06337
rxn04211	1.14.11.-|1.14.11.13	R06338
rxn04212		R06339
rxn04213		R06340
rxn04214		R06341
rxn04215	1.14.11.13	R06342
rxn04216	1.14.11.13	R06343
rxn04217	1.14.11.13	R06344
rxn04218	1.14.11.13	R06345
rxn04219	1.14.11.-	R06346
rxn04220	1.14.11.-	R06347
rxn04222	1.14.11.-	R06349
rxn04223	1.14.11.-	R06350
rxn04224	1.14.13.108	R06351
rxn04225	1.14.13.-	R06352
rxn04226	1.14.13.-	R06353
rxn04227	1.14.13.109	R06354
rxn04228	1.14.13.-	R06355
rxn04229	1.14.13.-	R06356
rxn04230	1.2.1.74	R06357
rxn04231		R06358
rxn04232		R06359
rxn04468		R06617
rxn04469		R06618
rxn04470		R06619
rxn07097	1.14.99.37	R06306
rxn12020	2.3.1.-	R08171
rxn12021	2.3.2.-	R08172
rxn12022	1.14.-.-	R08173
rxn14009	3.1.7.5	R08993
rxn14153	1.1.1.295	R08916
rxn14239	1.1.1.295	R08917
rxn15607	5.5.1.12	R06298
rxn15973	1.14.13.-	R09108
rxn15974	1.14.13.-	R09109
rxn15975		R09110
rxn15976	4.2.3.44	R09111
rxn15977	1.14.13.-	R09112
rxn15978	1.14.13.-	R09113
rxn15979		R09114
rxn15980	4.2.3.33	R09115
rxn15981	4.2.3.34	R09116
rxn15982	4.2.3.35	R09117
rxn15983		R09118
rxn15984	4.2.3.28	R09119
rxn15985	4.2.3.30	R09121
rxn15986	1.14.13.110	R09122
rxn15987	4.2.3.43	R09123
rxn16702	1.14.13.143	R09861
rxn16706	1.14.13.144	R09865
rxn16707	1.14.13.145	R09866
rxn16708	1.14.13.-|1.14.13.146	R09867
rxn16714	3.1.7.10	R09874
rxn16737	4.2.3.99	R09899
rxn16741	4.2.3.103	R09903
rxn16759	1.14.13.144	R09921
rxn17097	1.14.13.78	R06291
rxn18956	4.2.3.19	R05092
rxn18989	5.5.1.13	R02068
rxn20915	4.2.3.144	R10533
rxn21890	 1.14.11.13|1.14.11.13	R03008
rxn22126	4.2.1.133	R09967
rxn23599	4.2.3.-|4.2.3.131	R10585
rxn24021	5.5.1.12	R06298
rxn24022	4.2.3.28	R09119
rxn24023	4.2.3.33	R09115
rxn24024	4.2.3.35	R09117
rxn24060	1.14.13.78	R06292
rxn24318	1.14.13.78	R06293
rxn24971	4.2.3.44	R09111
rxn25038		R10562
rxn25200		R06319
rxn26509	1.14.11.-|1.14.11.12	R06322
rxn26510	1.14.11.-|1.14.11.12	R06323
rxn26515	 1.14.11.15|1.14.11.15	R03009
rxn30904	1.14.13.78	R06293
rxn31000	1.14.13.79	R06297
rxn39424		R03807
rxn39682	4.2.3.18	R06301
rxn39683	4.2.3.32	R06302
rxn39684	4.2.3.132	R06303
rxn39685		R06304
rxn39686		R06313
rxn39687		R06319
rxn39688		R06351
rxn39689		R06354
rxn39690	1.2.1.74	R06357
rxn40098	4.2.3.141	R10241
