id	ec_numbers	KEGG
rxn00086	1.6.4.2|1.8.1.7	R00115
rxn00090	1.8.3.3	R00120
rxn00186	3.5.2.9	R00251
rxn00198	1.1.1.42	R00267
rxn00205	1.11.1.9	R00274
rxn00350	2.3.2.2|3.4.19.13	R00494
rxn00351	6.3.2.3	R00497
rxn00444	1.11.1.11	R00644
rxn00470	4.1.1.17	R00670
rxn00646	6.3.2.2	R00894
rxn00650	3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-|3.4.13.18	R00899
rxn00821	1.8.5.1	R01108
rxn00822	1.8.4.4	R01109
rxn00824	1.8.4.3	R01111
rxn00956	1.8.4.1	R01110;R01292
rxn01115	1.1.1.351|1.1.1.44	R01528
rxn01403	6.3.1.8|6.3.1.9	R01917
rxn01404	3.5.1.-|3.5.1.78	R01918
rxn01406	2.5.1.16	R01920
rxn01475	1.1.1.43	R02034
rxn01975	1.1.1.49	R02736
rxn01980	1.8.1.13	R02742
rxn01981	2.3.2.4	R02743
rxn02061	2.5.1.16|2.5.1.22	R02869
rxn02705	1.8.1.12	R03821
rxn02706	6.3.1.9	R03822
rxn02800	1.5.4.1	R03984
rxn05952	2.3.2.2	R01262
rxn06060	2.8.1.3	R01875
rxn06330	1.11.1.12	R03167
rxn06401	2.5.1.18	R03522
rxn06472	2.3.2.4	R03749
rxn06527	1.8.4.2	R03915
rxn06547	1.5.4.1	R03984
rxn06564	1.8.4.7	R04039
rxn06626	2.3.1.80	R04950
rxn11967	1.8.4.2	R02824
rxn11997	2.3.2.2	R03916
rxn12003	3.4.11.1|3.4.11.2|3.4.11.23|3.4.11.5|3.4.13.-	R04951
rxn12040	3.5.1.-	R08350
rxn12041	3.5.1.-	R08351
rxn12042	6.3.1.9	R08352
rxn12043	6.3.1.9	R08353
rxn12044	6.3.1.9	R08354
rxn12045	6.3.1.9	R08355
rxn12046	1.8.1.12	R08356
rxn12047	1.8.1.12	R08357
rxn12048		R08358
rxn12049	2.5.1.16	R08359
rxn12050	1.11.1.-|1.11.1.15	R08360
rxn12051		R08361
rxn12052	1.11.1.15	R08362
rxn12053	1.17.4.1	R08363
rxn12054	1.17.4.1	R08364
rxn15022	1.1.1.42	R00267
rxn15023	1.1.1.42	R00267
rxn15168	1.8.4.1	R01110;R01292
rxn17276	1.8.5.1	R01108
rxn19775	1.1.1.49	R02736
rxn19841	1.6.4.2|1.8.1.7	R00115
rxn19842	1.6.4.2|1.8.1.7	R00115
rxn19942	1.1.1.42	R00267
rxn19943	1.1.1.42	R00267
rxn23048	2.3.2.2|3.4.19.13	R00494
rxn27624	1.1.1.351|1.1.1.44	R01528
rxn27877	1.1.1.49	R02736
rxn27891	1.11.1.9	R00274
rxn27892	6.3.2.3	R00497
rxn27893	6.3.2.2	R00894
rxn27962	1.11.1.11	R00644
rxn28902	2.3.2.2|3.4.19.13	R00494
rxn28988	2.5.1.16	R01920
rxn29964	2.3.2.2|3.4.19.13	R00494
rxn30399	1.1.1.42	R00267
rxn30400	1.1.1.42	R00267
rxn30590	3.5.2.9	R00251
rxn30878	3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-|3.4.13.18	R00899
rxn31054	2.3.2.2|3.4.19.13	R00494
rxn31392	1.1.1.42	R00267
rxn31689	3.4.11.1|3.4.11.2|3.4.11.23|3.4.11.5|3.4.13.-	R04951
rxn31975	4.1.1.17	R00670
rxn31977	4.1.1.17	R00670
rxn32133	1.6.4.2|1.8.1.7	R00115
rxn32989	3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-|3.4.13.18	R00899
rxn32991	3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-|3.4.13.18	R00899
rxn33304	1.1.1.351|1.1.1.44	R01528
rxn33323	1.1.1.351|1.1.1.44	R01528
rxn33345	1.11.1.9	R00274
rxn33349	1.11.1.9	R00274
rxn33425	1.8.5.1	R01108
rxn33431	2.3.2.2|3.4.19.13	R00494
rxn33639	1.11.1.11	R00644
rxn33806	1.1.1.42	R00267
rxn34576	2.5.1.16|2.5.1.22	R02869
rxn34798	1.8.4.2	R03915
rxn38006	1.1.1.351|1.1.1.44	R01528
rxn38009	1.1.1.351|1.1.1.44	R01528
rxn38115	1.1.1.49	R02736
rxn39282		R01110
rxn39402		R03522
