id	ec_numbers	KEGG
rxn00171	1.2.1.10	R00228
rxn00540	4.1.3.39	R00750
rxn00589	1.14.13.1	R00818
rxn01893	4.2.1.80	R02601
rxn01894	4.1.1.77	R02602
rxn01898	3.7.1.8	R02606
rxn02478	1.13.11.39	R03462
rxn02788	5.3.2.-|5.3.2.6	R03966
rxn02948	4.1.1.-	R04223
rxn03554	1.3.1.56	R05239
rxn03556	1.3.1.56	R05241
rxn03559	1.13.11.39	R05245
rxn03573	1.14.12.18	R05261
rxn03574	1.14.12.18	R05262
rxn03575	1.14.12.18	R05263
rxn03576	1.14.12.18	R05264
rxn03660	3.7.1.8	R05359
rxn03661	3.7.1.8	R05360
rxn03662	3.7.1.-|3.7.1.8	R05361
rxn03666	3.7.1.-|3.7.1.13	R05365
rxn03711	1.13.11.-	R05411
rxn03713	1.13.11.-	R05413
rxn03714	1.14.12.22	R05414
rxn03715	1.13.11.-|1.13.11.39	R05415
rxn03734	1.14.12.-	R05434
rxn03739	1.14.12.-	R05439
rxn16354	1.14.12.22	R09512
rxn27656	1.2.1.10	R00228
rxn31404	1.14.13.1	R00818
rxn32710	1.2.1.10	R00228
rxn32711	1.2.1.10	R00228
