id	ec_numbers	KEGG
rxn00115		R00152
rxn00340	6.3.1.1|6.3.5.4	R00483
rxn00342	3.5.1.1|3.5.1.38	R00485
rxn00343	3.5.5.4	R00486
rxn00374	3.5.1.49	R00524
rxn00523	1.14.13.41	R00730
rxn00692	2.1.2.1	R00945
rxn00937	4.2.1.65	R01267
rxn01131	4.1.2.46	R01553
rxn01206		R01650
rxn01296	4.1.2.10	R01767
rxn01377	3.5.5.1	R01887
rxn01860	3.2.1.118	R02558
rxn01935	4.1.2.11	R02676
rxn02139	3.2.1.117	R02985
rxn02525	3.5.5.1	R03542
rxn02589	2.4.1.63	R03625
rxn02791	2.3.2.2	R03970
rxn02991	2.4.1.85	R04296
rxn03082	1.14.13.41	R04460
rxn03993	1.14.13.68	R05728
rxn04465	4.1.1.-	R06614
rxn04971	1.14.13.41	R07190
rxn07454	4.99.1.7	R07638
rxn09519	3.5.5.1	R03542
rxn14123	2.3.2.2	R03971
rxn15273	3.5.5.1	R01887
rxn15274	3.5.5.1	R01887
rxn15342	3.2.1.118	R02558
rxn15343	3.2.1.118	R02558
rxn15386	3.2.1.117	R02985
rxn15387	3.2.1.117	R02985
rxn15410	3.5.5.1	R03542
rxn16199	4.1.2.46	R09358
rxn16423	1.14.13.124	R09579
rxn16424	1.14.13.124	R09580
rxn16425	1.14.13.124	R09581
rxn17092	1.14.13.68	R05728
rxn19028	4.1.2.46	R01553
rxn19208	3.5.1.1|3.5.1.38	R00485
rxn19870	2.1.2.1	R00945
rxn19917	4.1.2.11	R02676
rxn20170	4.1.2.10	R01767
rxn22087	4.1.2.46	R09358
rxn24036		R10031
rxn24037		R10031
rxn24038		R10032
rxn24039		R10032
rxn24040		R10033
rxn24041		R10033
rxn24042		R10034
rxn24043		R10034
rxn24067	3.2.1.21	R10040
rxn24068	3.2.1.21	R10040
rxn24420	1.14.13.41	R04460
rxn24421	1.14.13.41	R07190
rxn25680	3.2.1.-	R10035
rxn25721		R10027
rxn25722		R10027
rxn25725		R10028
rxn25726		R10028
rxn25763	3.2.1.21	R10039
rxn27401	1.14.13.41	R00730
rxn27665	4.1.2.46	R01553
rxn27914	2.1.2.1	R00945
rxn28311	3.2.1.21	R10040
rxn28364	1.14.13.41	R04460
rxn28365	1.14.13.41	R07190
rxn28489	3.2.1.21	R10039
rxn29938	1.14.13.41	R00730
rxn29950	3.5.1.1|3.5.1.38	R00485
rxn29992	3.5.1.1|3.5.1.38	R00485
rxn29993	6.3.1.1|6.3.5.4	R00483
rxn30353	3.5.1.1|3.5.1.38	R00485
rxn30416	3.5.5.1	R01887
rxn30579	4.2.1.65	R01267
rxn30618	3.5.1.1|3.5.1.38	R00485
rxn30669	3.5.1.49	R00524
rxn30686	2.1.2.1	R00945
rxn31749	2.4.1.63	R03625
rxn32243	4.2.1.65	R01267
rxn32509	1.14.13.41	R04460
rxn32726	4.1.2.11	R02676
rxn32743	1.14.13.41	R07190
rxn32792		R01650
rxn33232	1.14.13.41	R00730
rxn33496	1.14.13.68	R05728
rxn33524	3.5.1.49	R00524
rxn33977	2.1.2.1	R00945
rxn34213	3.5.1.49	R00524
rxn34558	3.5.1.1|3.5.1.38	R00485
rxn35245	3.5.1.49	R00524
rxn35315	3.5.1.49	R00524
rxn37424	2.4.1.63	R10037
rxn38130	2.1.2.1	R00945
rxn39086	3.5.5.1	R03542
rxn39260	3.5.5.-	R00152
rxn39313		R01887
rxn39973		R10029
rxn39974		R10030
rxn39975		R10036
rxn39976		R10038
rxn39977		R10041
rxn40385		R10637
rxn40386	2.4.1.354	R10638
rxn40387		R10639
