id	ec_numbers	KEGG
rxn00026	1.1.3.23	R00033
rxn00052	1.1.3.23	R00072
rxn00436	3.6.1.15	R00615
rxn00437	2.7.4.15|2.7.6.2	R00616
rxn00438	2.7.4.16	R00617
rxn00439	3.6.1.28	R00618
rxn00440	2.7.6.2	R00619
rxn01537	3.5.99.2	R02133
rxn01538	2.7.1.89	R02134
rxn01539	3.1.3.-|3.1.3.100|3.1.3.2	R02135
rxn02055	2.5.1.2	R02863
rxn02305	2.5.1.3	R03223
rxn02484	2.7.1.49	R03471
rxn02485		R03472
rxn03075	2.7.1.50	R04448
rxn03108	2.7.4.7	R04509
rxn03909	2.2.1.7	R05636
rxn07291	2.7.7.73	R07459
rxn07292	2.8.1.7	R07460
rxn07293		R07461
rxn07295	1.4.3.19	R07463
rxn16823	5.3.99.10	R09977
rxn20643	4.1.99.17	R03472
rxn20644	4.1.99.17	R03472
rxn23042	2.5.1.3	R10712
rxn23045	1.4.3.19	R07463
rxn27288	2.5.1.2	R02863
rxn27845	2.2.1.7	R05636
rxn28046	2.7.1.49	R03471
rxn28109	2.7.4.7	R04509
rxn29006	2.5.1.3	R03223
rxn30439	3.1.3.-|3.1.3.100|3.1.3.2	R02135
rxn31790	3.6.1.15	R00615
rxn31983	2.7.1.50	R04448
rxn32104	3.5.99.2	R02133
rxn32226	2.7.6.2	R00619
rxn32612	3.6.1.28	R00618
rxn32616	3.6.1.28	R00618
rxn33098	3.1.3.-|3.1.3.100|3.1.3.2	R02135
rxn37718	2.5.1.3	R10712
rxn38718	2.7.4.16	R00617
rxn40101		R10246
rxn40102		R10247
rxn40427		R10685
rxn40428		R10686
rxn40448		R10711
