id	ec_numbers	KEGG
rxn02051	2.1.1.101	R02858
rxn02052	2.1.1.102	R02859
rxn03582	1.14.-.-	R05270
rxn03808		R05519
rxn03809	2.1.1.254	R05520
rxn03810	1.14.13.154	R05521
rxn03811	1.14.13.154	R05522
rxn03819	2.4.1.-|2.4.1.328	R05530
rxn03820	2.4.1.278	R05531
rxn03821	2.1.1.254	R05532
rxn04311	2.4.1.316	R06450
rxn04312	2.4.1.317	R06451
rxn04313	2.4.1.-	R06452
rxn04314		R06453
rxn04315	1.14.13.-	R06454
rxn04316	2.4.1.-	R06455
rxn04317	2.1.1.239	R06456
rxn04318	2.4.1.-	R06457
rxn04321	2.4.1.277	R06460
rxn04322	2.4.1.277	R06461
rxn04323	1.14.13.185	R06462
rxn04324		R06463
rxn04325		R06464
rxn04326	1.14.-.-	R06465
rxn04328	1.14.-.-	R06467
rxn04329	1.14.-.-	R06468
rxn04331	1.14.-.-	R06470
rxn04333		R06472
rxn04334		R06473
rxn04335		R06474
rxn04336		R06475
rxn04337	2.1.1.-	R06476
rxn04338	2.1.1.-	R06477
rxn04339	2.1.1.-	R06478
rxn04340	2.1.1.-	R06479
rxn04345	2.4.1.-	R06484
rxn04346	2.4.1.-	R06485
rxn04347	2.4.1.-	R06486
rxn04348	2.4.1.-	R06487
rxn04349	2.4.1.-	R06488
rxn04350	2.4.1.-	R06489
rxn04351	2.4.1.-	R06490
rxn04352	2.4.1.-	R06491
rxn04353	2.4.1.-	R06492
rxn04354	2.4.1.-	R06493
rxn04355	2.4.1.-	R06494
rxn04356	2.4.1.-	R06495
rxn04357	2.4.1.-	R06496
rxn04358	2.4.1.-	R06497
rxn04359	2.4.1.-	R06498
rxn04360	2.4.1.-	R06499
rxn04364		R06503
rxn04365		R06504
rxn04366		R06505
rxn04367		R06506
rxn14196	2.3.1.94	R00918;R08649
rxn14324	2.4.1.318	R06452
rxn14350	2.3.1.94	R00918
rxn15614		R06448
rxn15615		R06448
rxn15616		R06449
rxn15617		R06453
rxn15618		R06458
rxn15619		R06458
rxn15620		R06459
rxn15621		R06459
rxn15622		R06480
rxn15623		R06480
rxn15624		R06481
rxn15625		R06481
rxn15626		R06482
rxn15627		R06482
rxn15628		R06483
rxn15629		R06483
rxn23243	1.14.13.-	R06454
rxn23248	1.14.13.-|1.14.13.188	R05270
rxn39503		R05521
rxn39504	1.14.13.154	R05522
rxn39722		R06449
rxn39723		R06453
rxn39724		R06454
rxn39725		R06457
rxn39726	2.4.1.277	R06460
rxn39727		R06461
rxn40402	1.14.13.186	R10656
