id	ec_numbers	KEGG
rxn00075	3.2.2.5|3.2.2.6	R00102
rxn00076	3.6.1.22|3.6.1.9	R00103
rxn00077	2.7.1.23	R00104
rxn00083	1.6.1.1|1.6.1.2|1.6.1.3	R00112
rxn00088	3.1.3.-|3.1.3.2	R00118
rxn00089	3.2.2.5|3.2.2.6	R00119
rxn00105	2.7.7.1|2.7.7.18	R00137
rxn00138	6.3.1.5|6.3.5.1	R00189
rxn00190	6.3.5.1	R00257
rxn00338	1.4.3.16	R00481
rxn00803	5.2.1.1	R01087
rxn00939	2.1.1.1	R01269
rxn00940	3.2.2.14|3.2.2.6	R01270
rxn00941	2.4.2.12	R01271
rxn00942	3.2.2.1	R01273
rxn00987	4.1.3.32	R01355
rxn01261	1.17.1.5	R01720
rxn01262	2.1.1.7	R01721
rxn01265	2.4.2.11	R01724
rxn01646	2.4.2.1	R02294
rxn01647	2.4.2.1	R02295
rxn01669	3.5.1.42	R02322
rxn01670	3.1.3.5	R02323
rxn01671	2.7.1.22	R02324
rxn02053		R02861
rxn02154	3.6.1.22|3.6.1.9	R03004
rxn02155	2.7.7.1|2.7.7.18	R03005
rxn02202	4.2.1.85	R03069
rxn02204	5.3.3.6	R03070
rxn02292	1.5.3.5	R03202
rxn02400	3.1.3.5	R03346
rxn02401	2.7.1.173|2.7.1.22	R03347
rxn02402	2.4.2.19	R03348
rxn02523	3.5.1.107	R03540
rxn02756	5.4.99.4	R03908
rxn02881	1.14.13.10	R04130
rxn02988	2.5.1.72	R04292
rxn04956	1.5.3.6	R07170
rxn04998	1.17.3.3	R07221
rxn05117	1.4.1.21	R07407
rxn05119	1.4.1.21	R07410
rxn06265	1.5.99.4	R02860
rxn06329	1.3.7.1	R03164
rxn07345	1.14.18.-	R07514
rxn07346	3.7.1.-|3.7.1.19	R07515
rxn07736	1.5.99.4	R07946
rxn07737		R07947
rxn07739		R07949
rxn07773		R07983
rxn07774	3.5.2.18	R07984
rxn07775	1.1.1.291	R07985
rxn07776		R07986
rxn08981	2.4.2.11|6.3.4.21	R01724
rxn11592	1.2.3.1	R04085
rxn11917	1.2.3.1	R08408
rxn11953		R01723
rxn12015		R07948
rxn12746	1.14.13.114	R08764
rxn12748	3.5.1.106	R09126
rxn12749	1.13.11.9	R09125
rxn14307	3.2.2.5|3.2.2.6	R00102
rxn15164	3.2.2.14	R01270
rxn15165	3.2.2.-|3.2.2.1	R01273
rxn15374	1.5.99.4	R02860
rxn15375	1.5.99.4	R02860
rxn15708	1.5.99.4	R07946
rxn15709	1.5.99.4	R07946
rxn16313		R09471
rxn16314	3.7.1.-	R09472
rxn16315	1.17.2.1	R09473
rxn20003	1.4.3.16	R00481
rxn20263	3.2.2.5|3.2.2.6	R00102
rxn20269	3.6.1.22|3.6.1.9	R00103
rxn20661	2.5.1.72	R04292
rxn20663	2.4.2.19	R03348
rxn23355	1.5.3.-|1.5.3.19	R10102
rxn24118	3.1.3.5	R02323
rxn24314	1.14.13.114	R08764
rxn27488	1.6.1.1|1.6.1.2|1.6.1.3	R00112
rxn28003	2.7.1.23	R00104
rxn30039	6.3.1.5|6.3.5.1	R00189
rxn30040	3.5.1.42	R02322
rxn30169	2.4.2.11	R01724
rxn30190	2.7.1.23	R00104
rxn30193	6.3.1.5|6.3.5.1	R00189
rxn30194	2.4.2.19	R03348
rxn30204	3.1.3.-|3.1.3.2	R00118
rxn30217	2.7.7.1|2.7.7.18	R03005
rxn30218	2.7.7.1|2.7.7.18	R00137
rxn30410	3.6.1.22|3.6.1.9	R00103
rxn30412	6.3.1.5|6.3.5.1	R00189
rxn30500	3.1.3.5	R02323
rxn30544	3.5.1.107	R03540
rxn30737	3.1.3.-|3.1.3.2	R00118
rxn30860	3.1.3.5	R02323
rxn31803	2.7.7.1|2.7.7.18	R00137
rxn31815	2.7.7.1|2.7.7.18	R00137
rxn31816	2.7.7.1|2.7.7.18	R00137
rxn31944	2.4.2.11	R01724
rxn31945	2.7.7.1|2.7.7.18	R03005
rxn31946	2.4.2.11	R01724
rxn32045	3.1.3.-|3.1.3.2	R00118
rxn32216	6.3.1.5|6.3.5.1	R00189
rxn32580	1.6.1.1|1.6.1.2|1.6.1.3	R00112
rxn32692	3.2.2.14|3.2.2.6	R01270
rxn32698	3.2.2.14|3.2.2.6	R01270
rxn33083	6.3.5.1	R00257
rxn33290	3.6.1.22|3.6.1.9	R00103
rxn35310	2.7.7.1|2.7.7.18	R03005
rxn35311	2.7.7.1|2.7.7.18	R00137
rxn38181	3.6.1.22|3.6.1.9	R00103
rxn38392	3.1.3.-|3.1.3.2	R00118
rxn38393	3.1.3.-|3.1.3.2	R00118
rxn38696	2.7.1.23	R00104
rxn39259	2.4.99.20	R00119
rxn39814	1.5.99.14	R07514
rxn39954	1.14.13.163	R09472
rxn39982		R10046
rxn40005	1.5.3.21	R10101
rxn40025	1.1.1.328	R10131
rxn40026		R10132
