id	ec_numbers	KEGG
rxn04439		R06586
rxn04440		R06587
rxn04441		R06588
rxn04442	5.3.1.-	R06589
rxn04443	2.2.1.1	R06590
rxn04444		R06591
rxn04445		R06592
rxn04446		R06593
rxn04447		R06594
rxn04448	4.2.1.144	R06595
rxn04449		R06597
rxn04451		R06599
rxn04452		R06600
rxn04798		R06991
rxn04800		R06993
rxn04801		R06994
rxn04802		R06995
rxn04803		R06996
rxn04804		R06997
rxn04805	2.1.1.-	R06998
rxn04806		R06999
rxn07178		R06992
rxn15630	2.2.1.1	R06590
rxn16692		R09851
rxn16693		R09852
rxn16694	2.1.3.-	R09853
rxn16695		R09854
rxn16696		R09855
rxn16697	2.1.1.-	R09856
rxn16698	2.4.1.-	R09857
rxn16699	2.1.3.-	R09858
rxn38499	2.2.1.1	R06590
rxn39733		R06586
rxn39734	2.7.1.179	R06588
rxn39784		R06997
rxn39785	2.1.1.315	R06998
