id	ec_numbers	KEGG
rxn00069	1.4.1.14	R00093
rxn00085	1.4.1.13	R00114
rxn00109	1.7.1.10|1.7.99.1	R00143
rxn00113	6.3.4.16|6.3.4.16-	R00149
rxn00182	1.4.1.2|1.4.1.3|1.4.1.4	R00243
rxn00184	1.4.1.3|1.4.1.4	R00248
rxn00187	6.3.1.2	R00253
rxn00374	3.5.1.49	R00524
rxn00388	3.5.5.1|3.5.5.2|3.5.5.5|3.5.5.7	R00540
rxn00567	1.7.2.1	R00783
rxn00568	1.6.6.-|1.7.1.15|1.7.1.4	R00787
rxn00569	1.7.1.4	R00789
rxn00571	1.6.6.1|1.7.1.1|1.7.1.2	R00794
rxn00572	1.7.1.2|1.7.1.3	R00796
rxn01016	2.7.2.2	R01395
rxn01806	1.7.1.14	R02492
rxn02529	4.2.1.104	R03546
rxn03978	1.7.2.2	R05712
rxn05064	3.5.1.110|4.2.1.104	R07316
rxn05801	1.7.2.5	R00294
rxn05890	1.7.2.1	R00785
rxn05893	1.7.7.1	R00790
rxn05894	1.7.7.2	R00791
rxn05895	1.9.6.1	R00792
rxn06246	1.7.2.4	R02804
rxn06874	1.18.6.1	R05185
rxn07198	1.7.99.8	R07174
rxn11973	1.9.6.1	R03071
rxn12822	1.4.7.1	R00021
rxn13808	1.7.1.4	R00787
rxn14010	1.14.99.39	R00148
rxn14028	1.7.1.4	R00787
rxn14250	1.13.12.16	R00025
rxn14358	1.7.99.4	R00798
rxn14395	1.7.1.4	R00789
rxn15526	1.19.6.1	R05186
rxn16283	1.7.1.14	R09446
rxn16640		R09799
rxn16649	1.7.1.14	R09808
rxn16650	1.7.1.14	R09809
rxn19010	6.3.4.16|6.3.4.16-	R00149
rxn19827	1.4.1.2|1.4.1.3|1.4.1.4	R00243
rxn19835	6.3.1.2	R00253
rxn19836	6.3.1.2	R00253
rxn27887	1.4.1.3|1.4.1.4	R00248
rxn27888	1.4.1.14	R00093
rxn27889	1.4.1.13	R00114
rxn27936	1.7.1.10|1.7.99.1	R00143
rxn30022	6.3.1.2	R00253
rxn30023	1.4.1.3|1.4.1.4	R00248
rxn30075	1.4.1.2|1.4.1.3|1.4.1.4	R00243
rxn30592	6.3.4.16|6.3.4.16-	R00149
rxn30669	3.5.1.49	R00524
rxn30679	1.4.1.3|1.4.1.4	R00248
rxn31206	1.4.7.1	R00021
rxn31219	1.7.7.1	R00790
rxn31319	6.3.4.16|6.3.4.16-	R00149
rxn32166	1.6.6.1|1.7.1.1|1.7.1.2	R00794
rxn32381	1.7.1.2|1.7.1.3	R00796
rxn32447	1.7.7.1	R00790
rxn33516	4.2.1.104	R03546
rxn33524	3.5.1.49	R00524
rxn33526	4.2.1.104	R03546
rxn33943	1.4.1.3|1.4.1.4	R00248
rxn34009	1.6.6.1|1.7.1.1|1.7.1.2	R00794
rxn34213	3.5.1.49	R00524
rxn34790	1.4.1.2|1.4.1.3|1.4.1.4	R00243
rxn34791	6.3.1.2	R00253
rxn34792	6.3.1.2	R00253
rxn34793	1.4.1.2|1.4.1.3|1.4.1.4	R00243
rxn34794	1.4.1.3|1.4.1.4	R00248
rxn35245	3.5.1.49	R00524
rxn35314	6.3.4.16|6.3.4.16-	R00149
rxn35315	3.5.1.49	R00524
rxn35316	1.7.2.1	R00783
rxn35317	1.7.7.1	R00790
rxn38000	6.3.4.16|6.3.4.16-	R00149
rxn38182	1.6.6.1|1.7.1.1|1.7.1.2	R00794
rxn39261		R00294
rxn39362		R02804
rxn40053	1.7.2.6	R10164
rxn40201		R10388
rxn40202		R10389
rxn40264		R10471
