id	ec_numbers	KEGG
rxn00948	2.3.1.50	R01281
rxn01087	2.7.1.138	R01495
rxn01088	2.4.1.80	R01497;R06275
rxn01089	3.2.1.45|3.2.1.62	R01498
rxn01090	2.4.1.47	R01500;R06277
rxn01091	3.2.1.46|3.2.1.62	R03617
rxn01092	2.7.8.-	R01503
rxn01381	2.7.8.3	R01891
rxn01411	2.7.1.91	R01926
rxn01413	2.4.1.23	R01928
rxn01414	2.7.8.10	R01929
rxn01783	4.1.2.27	R02464
rxn01844	3.1.4.12	R02541
rxn01845	3.1.4.41	R02542
rxn02133	2.7.1.91	R02976
rxn02134	1.1.1.102	R02978
rxn02408	2.4.1.274	R03354;R06276
rxn02409	3.2.1.23	R03355;R06099
rxn02582	3.2.1.46	R03617
rxn02820	2.4.1.-	R04016
rxn02821	3.2.1.18	R04018;R06147
rxn03369	2.7.8.-	R04921
rxn03458	4.1.2.-|4.1.2.27	R06516
rxn04375	3.5.1.23	R06518
rxn04376	3.1.3.-|3.1.3.4	R06520
rxn04377	3.1.3.-|3.1.3.4	R06521
rxn04378	3.1.3.-|3.1.3.4	R06522
rxn04381	1.14.-.-|1.14.13.169	R06525
rxn04382		R06526
rxn04383	3.5.1.23	R06528
rxn06012	2.3.1.24	R01496
rxn06178	2.3.1.24	R02543
rxn06558	2.8.2.11	R04017;R06279
rxn06798	3.1.6.1|3.1.6.8	R04856;R06280
rxn06854	2.8.2.11	R05105
rxn07108	2.3.1.24	R06517
rxn07109	1.14.-.-	R06519
rxn07110	2.3.1.24	R06527
rxn11567	3.2.1.23	R03355;R06099
rxn11587	3.2.1.22	R04019
rxn14381	2.7.8.27	R08969
rxn15216	3.5.1.23	R01494
rxn15217	3.2.1.45	R01498
rxn15218	3.2.1.45	R01498
rxn15402	3.2.1.23	R03355;R06099
rxn15414	3.2.1.46	R03617
rxn15442	3.2.1.18	R04018;R06147
rxn15443	3.2.1.18	R04018;R06147
rxn15444	3.2.1.22	R04019
rxn15445	3.2.1.22	R04019
rxn17753	1.1.1.102	R02978
rxn17754	1.1.1.102	R02978
rxn26738	1.14.-.-|1.14.13.169	R06525
rxn27106	2.3.1.50	R01281
rxn27107	2.3.1.50	R01281
rxn30432	3.1.3.-|3.1.3.4	R06520
rxn31436	1.1.1.102	R02978
rxn31869	4.1.2.27	R06516
rxn32395	2.7.1.91	R02976
rxn32683	4.1.2.27	R02464
rxn33264	2.7.1.91	R01926
rxn33694	2.4.1.-	R04016
rxn33707	3.2.1.22	R04019
rxn39729		R06518
rxn39730		R06528
rxn39927		R08969
