id	ec_numbers	KEGG
rxn00957	1.2.1.28|1.2.1.64	R01293
rxn00958	1.2.1.7	R01294
rxn01032	1.2.1.28|1.2.1.29	R01419;R01486
rxn01033	1.2.1.7	R01420
rxn01197	1.14.12.8	R01636
rxn02539	1.14.12.11	R03559
rxn02540	1.14.13.7	R03560
rxn02541	1.14.13.-	R03562
rxn02545	1.14.13.7	R03566
rxn02577	1.14.13.7	R03608
rxn02860	1.3.1.19	R04088
rxn02887	1.1.1.97	R04136
rxn03109	5.4.99.14	R04510
rxn03583	1.1.1.257	R05271
rxn03584	1.2.1.62	R05272
rxn03593	1.14.13.-|1.14.99.-	R05281
rxn03606	1.14.12.-	R05294
rxn03611	1.13.11.1	R05299
rxn03612	5.5.1.1|5.5.1.7	R05300
rxn03860	1.1.1.35	R05575
rxn03867	2.3.1.-|2.3.1.M17	R05587
rxn03868	2.8.3.15	R05588
rxn03877	4.1.99.11	R05598
rxn03878	4.2.1.-	R05599
rxn03937		R05666
rxn06940	1.3.8.3|1.3.99.21	R05584
rxn07478	1.14.13.-	R07663
rxn07480	1.14.13.-	R07665
rxn07481	1.2.1.7	R07666
rxn07482	1.2.1.28|1.2.1.64	R07667
rxn11959	1.14.13.-|1.14.15.-	R02550
rxn14227	1.17.99.1	R02675
rxn16063	1.14.12.-	R09201
rxn16075	1.3.1.-	R09213
rxn16076	1.13.11.-	R09214
rxn16077	5.5.1.7	R09215
rxn16079	5.5.1.7	R09217
rxn16082	3.1.1.45	R09220
rxn16083	5.5.1.7	R09221
rxn16084	3.1.1.45	R09222
rxn16085	1.3.1.32	R09223
rxn16086	1.3.1.32	R09224
rxn16087	5.3.3.-|5.3.3.4|5.5.1.-	R09225
rxn16088	3.1.1.-|3.1.1.24	R09226
rxn16091	5.5.1.1	R09229
rxn19224	1.2.1.28|1.2.1.29	R01419;R01486
rxn28415	4.2.1.-	R05599
rxn30972	4.2.1.-	R05599
rxn33114	1.2.1.7	R07666
rxn33116	1.2.1.7	R07666
rxn39849		R07663
