id	ec_numbers	KEGG
rxn00007	3.2.1.28	R00010;R06103
rxn00020	3.2.1.21	R00026;R06092
rxn00022	3.2.1.20	R00028;R06084
rxn00211	1.1.1.22	R00286
rxn00212	3.6.1.45|3.6.1.8|3.6.1.9	R00287
rxn00213	2.7.7.9	R00289
rxn00222	3.2.1.21|3.2.1.74	R00306;R06104
rxn00553	2.4.1.14	R00766;R06073
rxn00577	2.4.1.7	R00803;R06034
rxn00578	3.1.3.24	R00805;R06211
rxn00579	2.4.1.13	R00806;R06036
rxn00580	1.1.99.13	R00807;R06233
rxn00606	3.2.1.122|3.2.1.93	R00837;R06113
rxn00607	3.2.1.122	R00838;R06115
rxn00695	2.7.7.27	R00948
rxn00696	2.7.1.10	R00949
rxn00697	3.6.1.21	R00951
rxn00698	2.4.1.20	R00952;R06056
rxn00700	2.7.7.34	R00954
rxn00702	2.7.7.33	R00956
rxn00704	5.4.2.2|5.4.2.5	R00959;R08639
rxn00705	2.7.1.41	R00960
rxn00919	3.6.1.21	R01233
rxn01007	4.1.1.35	R01384
rxn01008	5.1.3.6	R01385
rxn01051	3.2.1.74	R01444;R06105
rxn01132	2.4.1.8	R01555;R06040
rxn01134	5.4.99.16	R01557;R06218
rxn01215	2.7.1.106	R01660
rxn01966	2.4.1.64	R02727;R06053
rxn01967	5.4.2.6	R02728
rxn02004	3.1.3.12	R02778;R06228
rxn02695	3.2.1.74	R03801;R06106
rxn02696	3.2.1.74	R03802;R06107
rxn02760	3.2.1.26	R03921
rxn03487	3.2.1.74	R05141;R06108
rxn03488	3.2.1.74	R05142;R06109
rxn05746	2.4.1.8|3.2.1.20	R01555;R06040
rxn05800	2.4.1.11|2.4.1.12|2.4.1.168|2.4.1.183|2.4.1.34	R00292;R02889;R03118;R03996
rxn05807	3.2.1.3|3.2.1.39|3.2.1.59|3.2.1.74|3.2.1.84	R00308
rxn05899	2.7.1.69	R00811;R06212
rxn06000	3.2.1.37	R01433;R04937
rxn06005	3.2.1.31	R01478
rxn06050	2.4.1.125|2.4.1.4|2.4.1.5	R01823;R02120
rxn06064	3.2.1.15|3.2.1.67	R01982;R04320
rxn06093	3.2.1.1	R02108
rxn06094	3.2.1.33	R02109
rxn06095	2.4.1.18	R02110
rxn06096	2.4.1.1	R02111
rxn06097	3.2.1.2	R02112
rxn06165	2.4.1.21	R02421
rxn06271	3.2.1.4|3.2.1.91	R02886
rxn06272	3.2.1.21|3.2.1.3	R02887
rxn06273	2.4.1.29	R02890
rxn06316	3.2.1.54	R03122
rxn06402	2.4.1.35	R03526
rxn06403	3.2.1.21	R03527
rxn06535	2.4.2.24	R03928
rxn06592	2.7.1.69	R04111;R06236
rxn06879	2.4.1.43	R05191;R06278
rxn07347	2.4.1.8|3.2.1.20|4.2.1.131	R01555;R06040;R07516
rxn08126	2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131	R01555;R06040;R07516
rxn08127	2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131	R01555;R06040;R07516
rxn08128	2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131	R01555;R06040;R07516
rxn11965	2.7.1.69	R02780;R06229
rxn13954	2.4.1.245	R08946
rxn14014	2.4.1.17	R01383
rxn14329	3.2.1.10	R01718
rxn15002	3.2.1.28	R00010;R06103
rxn15007	3.2.1.21	R00026
rxn15010	3.2.1.20	R00028
rxn15011	3.2.1.20	R00028;R06084
rxn15033	3.2.1.21	R00306
rxn15062	2.4.1.14	R00766;R06073
rxn15069	3.2.1.20|3.2.1.26|3.2.1.48	R00802;R06088
rxn15073	3.2.1.122	R00837;R06113
rxn15075	3.2.1.122	R00838;R06115
rxn15097	2.4.1.20	R00952
rxn15098	2.4.1.20	R00952
rxn15193	3.2.1.37	R01433
rxn15194	3.2.1.37	R01433
rxn15202	3.2.1.74	R01444
rxn15203	3.2.1.74	R01444
rxn15210	3.2.1.31	R01478
rxn15222	2.4.1.8	R01555;R06040
rxn15225	5.4.99.16	R01557
rxn15226	5.4.99.16	R01557;R06218
rxn15233	3.2.1.10	R01718
rxn15249	2.7.1.1|2.7.1.2	R01786
rxn15250	3.1.3.9	R01788
rxn15251	3.2.1.3|3.2.1.58|3.2.1.59	R01790;R01791;R03115
rxn15292	3.2.1.15	R01982
rxn15299	3.2.1.2	R02112
rxn15300	3.2.1.2	R02112
rxn15321	3.1.1.11	R02362;R06250
rxn15359	2.4.1.64	R02727;R06053
rxn15360	2.4.1.64	R02727;R06053
rxn15362	2.4.1.15	R02737;R06226
rxn15364	5.3.1.9	R02740
rxn15376	3.2.1.4	R02886
rxn15377	3.2.1.4	R02886
rxn15425	3.2.1.74	R03801;R06106
rxn15426	3.2.1.74	R03801;R06106
rxn15427	3.2.1.74	R03802;R06107
rxn15428	3.2.1.74	R03802;R06107
rxn15435	2.7.1.1|2.7.1.4	R03920
rxn15448	2.7.1.69	R04111
rxn15449	2.7.1.69	R04111;R06236
rxn15520	3.2.1.74	R05141;R06108
rxn15521	3.2.1.74	R05141;R06108
rxn15522	3.2.1.74	R05142;R06109
rxn15523	3.2.1.74	R05142;R06109
rxn15532	2.4.1.25	R05196;R06069
rxn15533	2.4.1.25	R05196
rxn15543	3.2.1.1|3.2.1.65	R05624;R06175;R06206;R06209
rxn15560	2.4.1.8	R01555;R06040
rxn15604	2.7.1.69	R00811;R06212
rxn15773	5.4.2.2|5.4.2.5	R00959;R08639
rxn15876	2.4.1.245	R08946
rxn15877	2.4.1.245	R08946
rxn16790	2.7.1.175	R09945
rxn16791	2.7.1.175	R09945
rxn16792	2.7.1.175	R09945
rxn16840	2.4.99.16	R09994
rxn16841		R09995
rxn17977	3.2.1.3|3.2.1.58|3.2.1.59	R01790;R01791;R03115
rxn19731	2.7.1.1|2.7.1.4	R03920
rxn19776	2.7.7.27	R00948
rxn19862	2.4.1.21	R02421
rxn20583	5.4.2.2	R00959
rxn21112	3.2.1.21	R00026
rxn23720	2.7.1.1|2.7.1.2	R01786
rxn24133	5.3.1.9	R02740
rxn25375	2.4.2.24	R03928
rxn27409	4.1.1.35	R01384
rxn27410	4.1.1.35	R01384
rxn28164	3.2.1.21	R00026
rxn28252	3.2.1.20|3.2.1.26|3.2.1.48	R00802;R06088
