id	ec_numbers	KEGG
rxn00171	1.2.1.10	R00228
rxn00540	4.1.3.39	R00750
rxn00583	1.3.1.19	R00812
rxn00584	1.3.1.25	R00813
rxn00587	1.13.11.2	R00816
rxn00588	1.13.11.1	R00817
rxn00589	1.14.13.1	R00818
rxn00843	1.14.13.25	R01142
rxn00921	4.1.1.61	R01238
rxn00959	1.14.13.12	R01295
rxn00960	1.14.13.33	R01296
rxn00962	1.14.13.2|1.14.13.33	R01298
rxn00964	6.2.1.27	R01300
rxn01032	1.2.1.28|1.2.1.29	R01419;R01486
rxn01040		R01427
rxn01189	1.14.13.23	R01628
rxn01192	1.13.11.3	R01631
rxn01194	1.3.1.53	R01633
rxn01597	1.1.1.245|1.1.1.90	R02229
rxn01598	1.14.13.22	R02231
rxn01611	1.14.13.11	R02253
rxn01893	4.2.1.80	R02601
rxn01894	4.1.1.77	R02602
rxn01895	3.7.1.-|3.7.1.14	R02603
rxn01896	3.7.1.9	R02604
rxn01898	3.7.1.8	R02606
rxn01945	1.14.13.3|1.14.14.9	R02698;R02698
rxn01993	1.2.1.32|1.2.1.85	R02762
rxn02107	1.2.1.-|1.2.1.65	R02941
rxn02125	1.14.12.12	R02968
rxn02144	3.1.1.24	R02991
rxn02366	1.13.11.15	R03303;R03303
rxn02369	5.5.1.2	R03307
rxn02478	1.13.11.39	R03462
rxn02483	4.1.1.44	R03470
rxn02526	1.14.12.3	R03543
rxn02539	1.14.12.11	R03559
rxn02540	1.14.13.7	R03560
rxn02541	1.14.13.-	R03562
rxn02577	1.14.13.7	R03608
rxn02593	1.14.12.7	R03630
rxn02663	3.1.1.-|3.1.1.17	R03751
rxn02788	5.3.2.-|5.3.2.6	R03966
rxn02807	1.14.13.20	R03997
rxn02860	1.3.1.19	R04088
rxn02861	1.13.11.2	R04089
rxn02877	1.3.1.29	R04115
rxn02878	1.13.11.-|1.13.11.56	R04117
rxn02885	5.3.2.M1|5.3.3.-	R04134;R04134
rxn02887	1.1.1.97	R04136
rxn02899	1.3.1.49	R04151
