id	ec_numbers	KEGG
rxn00029	4.2.1.24	R00036
rxn00051		R00070
rxn00056	1.16.3.1	R00078
rxn00060	2.5.1.61|4.3.1.8	R00084
rxn00072	1.16.1.3	R00097
rxn00074	1.16.1.4	R00099
rxn00080	1.16.1.5	R00107
rxn00224	4.99.1.1	R00310
rxn00599	2.3.1.37	R00830
rxn01084	2.5.1.17	R01492
rxn01628	2.6.1.43	R02271
rxn01629	5.4.3.8	R02272
rxn01721	2.4.1.17	R02389
rxn01722	1.3.1.24	R02391
rxn01723	1.3.1.24	R02393
rxn01724	1.3.3.5	R02394
rxn02056	4.99.1.4	R02864
rxn02151	1.16.1.6	R02999
rxn02264	4.2.1.75	R03165
rxn02265		R03166
rxn02287	2.1.1.107	R03194
rxn02288	4.1.1.37	R03197
rxn02303	1.3.3.3	R03220
rxn02304	1.3.3.4	R03222
rxn02716	1.3.1.33	R03845
rxn02733	6.6.1.1	R03877
rxn02774	1.3.1.76	R03947
rxn02775	2.1.1.130	R03948
rxn02777		R03951
rxn02897	2.4.2.21	R04148
rxn02959	2.1.1.11	R04237
rxn03150	3.1.3.73	R04594
rxn03280		R04795
rxn03384	4.1.1.37	R04972
rxn03491	2.1.1.132	R05149
rxn03492	1.3.1.54	R05150
rxn03512	5.4.1.2|5.4.99.61	R05177
rxn03513	2.1.1.131	R05180
rxn03514	2.1.1.133	R05181
rxn03532	1.14.13.83	R05217
rxn03534	2.1.1.152	R05219
rxn03535	2.5.1.17	R05220
rxn03536	2.7.1.156	R05221
rxn03537	2.7.7.62	R05222
rxn03538	2.7.8.26	R05223
rxn03540	6.3.5.10	R05225
rxn03541	3.5.1.90	R05226
rxn03542	6.6.1.2	R05227
rxn03895	3.1.1.14	R05618
rxn04045	4.99.1.3	R05807
rxn04047	2.1.1.131	R05809
rxn04048	2.1.1.133	R05810
rxn04050	1.3.1.54	R05812
rxn04052	5.4.1.2|5.4.99.60	R05814
rxn04148		R06254
rxn04149		R06255
rxn04150		R06256
rxn04151		R06257
rxn04152	1.14.13.81	R06265
rxn04153	1.14.13.81	R06266
rxn04154	1.14.13.81	R06267
rxn04158		R06271
rxn04159	1.3.1.75	R06272
rxn04160	1.18.-.-|1.3.7.7	R06282
rxn04161	2.5.1.62	R06284
rxn04162	1.3.1.33	R06286
rxn04163		R06287
rxn04164		R06288
rxn04384	6.3.1.10	R06529
rxn04385	4.1.1.81	R06530
rxn04386	2.7.1.-|2.7.1.177	R06531
