id	ec_numbers	KEGG
rxn04389	2.4.1.115	R06534
rxn04390	2.4.1.115	R06535
rxn04391	2.4.1.115	R06536
rxn04402	2.4.1.-	R06547
rxn04403		R06548
rxn04404		R06549
rxn04614	2.3.1.172	R06799
rxn04615	2.3.1.-|2.3.1.214	R06800
rxn04616	2.3.1.171	R06801
rxn04617	2.4.1.-	R06802
rxn04618	2.4.1.116	R06803
rxn04632	2.3.1.171	R06817
rxn04633	2.4.1.-	R06818
rxn04634	2.4.1.116	R06819
rxn07111	2.3.1.-|2.3.1.215	R06544
rxn07112	2.3.1.-	R06545
rxn07113	2.4.1.-|2.4.1.298	R06546
rxn07114		R06550
rxn07663	2.3.1.-	R07873
rxn07664	2.4.1.-	R07874
rxn07665	2.4.1.-	R07875
rxn07666	2.3.1.-	R07876
rxn07667	2.4.1.-|2.4.1.297	R07877
rxn07668	2.4.1.-	R07878
rxn07669	2.4.1.-	R07879
rxn07670	2.3.1.153	R07880
rxn07672	2.3.1.153	R07882
rxn07673	2.3.1.153	R07883
rxn07674	2.3.1.-	R07884
rxn07675	2.3.1.-	R07885
rxn07676	2.3.1.-	R07886
rxn07690		R07900
rxn07691	2.1.1.-	R07901
rxn07693	2.4.1.-	R07903
rxn07694		R07904
rxn07695	2.1.1.-	R07905
rxn07696	2.1.1.-	R07906
rxn07697	2.1.1.-	R07907
rxn07698	2.4.1.-	R07908
rxn07699	2.4.1.-	R07909
rxn07700	2.3.1.172	R07910
rxn07701	2.4.1.-	R07911
rxn07702	2.4.1.238	R07912
rxn07703	2.4.1.238|2.4.1.249	R07913
rxn07704	2.4.1.249	R07914
rxn07705		R07915
rxn07713	2.4.1.238	R07923
rxn07714	2.3.1.-	R07924
rxn07715		R07925
rxn07716	2.3.1.-	R07926
rxn07717	2.3.1.-	R07927
rxn07718	2.3.1.-|2.3.1.215	R07928
rxn07719	2.3.1.-	R07929
rxn07720	2.3.1.153	R07930
rxn07721	2.3.1.153	R07931
rxn07722	2.4.1.-	R07932
rxn07728	2.3.1.171	R07938
rxn07734	2.3.1.153	R07944
rxn16479	2.4.1.254	R09635
rxn39732		R06547
rxn40108	2.4.1.300	R10259
rxn40110	2.4.1.299	R10261
rxn40130		R10290
rxn40131		R10291
rxn40132		R10292
rxn40133		R10293
rxn40134		R10294
rxn40135		R10295
rxn40136		R10296
rxn40137		R10297
rxn40138		R10298
rxn40139		R10299
