id	ec_numbers	KEGG
rxn00011	1.2.4.1|2.2.1.6|4.1.1.1	R00014
rxn00148	2.7.1.40	R00200
rxn00172	6.2.1.13	R00229
rxn00175	6.2.1.1	R00235
rxn00247	4.1.1.49	R00341
rxn00305	4.1.1.32	R00431
rxn00459	4.2.1.11	R00658
rxn00499	1.1.1.27	R00703
rxn00506	1.2.1.3|1.2.1.5	R00710
rxn00507	1.2.1.3|1.2.1.4|1.2.1.5	R00711
rxn00519	4.1.1.32	R00726
rxn00536	1.1.1.2|1.1.1.71	R00746
rxn00543	1.1.1.1|1.1.1.71	R00754
rxn00544	4.1.1.1	R00755
rxn00704	5.4.2.2|5.4.2.5	R00959;R08639
rxn00705	2.7.1.41	R00960
rxn00747	5.3.1.1	R01015
rxn00779	1.2.1.9	R01058
rxn00781	1.2.1.12|1.2.1.59	R01061
rxn00782	1.2.1.13|1.2.1.59	R01063
rxn01100	2.7.2.3	R01512
rxn01104	3.1.3.13	R01516
rxn01106	5.4.2.1|5.4.2.11|5.4.2.12	R01518
rxn01171	5.1.3.3	R01602
rxn01216	5.4.2.1|5.4.2.4	R01662
rxn01871	2.3.1.12	R02569
rxn01977	5.1.3.15|5.3.1.9	R02739
rxn02342	1.2.4.1	R03270
rxn02380	5.3.1.9	R03321
rxn03481	3.2.1.86	R05133
rxn03482	3.2.1.86	R05134
rxn03517	1.1.2.8	R05198
rxn06120	2.7.1.63	R02187
rxn06231	2.7.1.69	R02738
rxn06678	2.7.1.69	R04394
rxn06860	2.7.1.69	R05132
rxn07191	1.2.7.5|1.2.7.6	R07159
rxn13974	1.2.7.-|1.2.7.1	R01196
rxn15095	3.1.3.10	R00947
rxn15116	4.1.2.13	R01070
rxn15249	2.7.1.1|2.7.1.2	R01786
rxn15250	3.1.3.9	R01788
rxn15314	2.7.1.63	R02189
rxn15363	2.7.1.69	R02738
rxn15364	5.3.1.9	R02740
rxn15493	2.7.1.11	R04779
rxn15494	3.1.3.11	R04780
rxn15694	1.8.1.4	R07618
rxn15773	5.4.2.2|5.4.2.5	R00959;R08639
rxn15952	2.7.1.146	R09084
rxn15953	2.7.1.147	R09085
rxn15954	2.7.1.147	R09086
rxn15989	1.1.2.7	R09127
rxn17199	1.2.1.13|1.2.1.59	R01063
rxn17748	4.2.1.11	R00658
rxn18917	5.4.2.1|5.4.2.11|5.4.2.12	R01518
rxn19015	2.7.1.11	R04779
rxn19123	1.2.1.3|1.2.1.5	R00710
rxn19485	2.3.1.12	R02569
rxn19683	4.1.2.13	R01070
rxn19684	3.1.3.11	R04780
rxn19685	3.1.3.11	R04780
rxn19762	1.2.1.12|1.2.1.59	R01061
rxn20509	2.7.1.40	R00200
rxn20522	5.3.1.9	R03321
rxn20544	2.7.2.3	R01512
rxn20583	5.4.2.2	R00959
rxn23720	2.7.1.1|2.7.1.2	R01786
rxn24133	5.3.1.9	R02740
rxn27386	5.3.1.1	R01015
rxn27657	6.2.1.13	R00229
rxn27658	6.2.1.13	R00229
rxn27659	6.2.1.1	R00235
rxn27660	6.2.1.1	R00235
rxn27700	1.1.1.1|1.1.1.71	R00754
rxn27702	5.1.3.3	R01602
rxn27851	4.1.2.13	R01070
