id	ec_numbers	KEGG
rxn00498	2.5.1.-|2.5.1.103|2.5.1.21|2.5.1.96	R00702
rxn01058	1.3.1.21	R01451
rxn01062	1.3.1.21	R01456
rxn01063	1.3.1.72	R01457
rxn01066	3.1.1.13	R01462
rxn02062	1.3.1.96|2.5.1.21	R02872
rxn02063	1.14.13.132|1.14.99.7	R02874
rxn02290	5.4.99.7	R03199
rxn02291	5.4.99.8	R03200
rxn02371	1.14.21.6	R03310
rxn02407	5.3.3.5	R03353
rxn02578	1.14.13.13	R03610
rxn02618	1.3.1.72	R03689
rxn02677	5.5.1.9	R03775
rxn03007	1.3.1.72	R07498
rxn03063	2.1.1.41	R04427
rxn03281	5.3.3.5	R04804
rxn03911	1.3.1.70	R05639
rxn03912	1.14.13.70	R05640
rxn03913	1.3.1.71	R05641
rxn03973	1.3.1.72	R05703
rxn03996	1.14.13.70	R05731
rxn04028	2.1.1.143	R05776
rxn04993	1.14.21.6	R07215
rxn06002	2.3.1.26	R01461
rxn06221	2.3.1.73	R02692
rxn06424	1.14.13.-	R03611
rxn06464		R03724
rxn06762		R04667
rxn07312	2.1.1.41	R07481
rxn07313	1.14.13.72	R07482
rxn07314	1.3.1.70	R07483
rxn07315	5.3.3.5	R07484
rxn07316	1.14.13.72	R07485
rxn07317	1.14.21.6	R07486
rxn07318	1.3.1.21	R07487
rxn07319	1.3.1.72	R07488
rxn07320		R07489
rxn07321	1.14.13.72	R07490
rxn07322	1.14.21.6|1.3.3.-	R07491
rxn07323	1.3.1.21	R07492
rxn07324	1.3.1.72	R07493
rxn07325	1.1.1.170	R07494
rxn07327		R07496
rxn07328		R07497
rxn07336	1.14.21.6	R07505
rxn07337		R07506
rxn11681	1.3.1.72	R07499
rxn11682	1.3.1.72	R07507
rxn11683	1.14.13.72	R07509
rxn11981		R03311
rxn11990		R03677
rxn14019	1.1.1.270	R07495
rxn15679	1.14.21.6	R07505
rxn15680		R07506
rxn16357	1.14.13.126	R09515
rxn16358	1.14.13.126	R09516
rxn17093	1.14.13.70	R05731
rxn17223	1.3.1.71	R05641
rxn17414	2.1.1.143	R05776
rxn20024	5.4.99.7	R03199
rxn20025	5.4.99.7	R03199
rxn22724	2.5.1.-|2.5.1.103|2.5.1.21|2.5.1.96	R00702
rxn23886	2.1.1.41	R07481
rxn26736	1.14.13.70	R05640
rxn26737	1.14.13.70	R05640
rxn26890	1.3.1.72	R01457
rxn26891	1.3.1.96|2.5.1.21	R02872
rxn26898	1.3.1.70	R05639
rxn26931	1.1.1.270	R07495
rxn26967	1.3.1.21	R01456
rxn27213	1.14.13.132|1.14.99.7	R02874
rxn27502	2.1.1.143	R05776
rxn28277	2.1.1.41	R07481
rxn28840	2.1.1.41	R04427
rxn32025	2.1.1.41	R04427
rxn32309	1.3.1.72	R07488
rxn32529	1.3.1.21	R01451
rxn32938		R07497
rxn33208	1.3.1.72	R07493
rxn33738	1.14.21.6|1.3.3.-	R07491
rxn34588	1.14.13.-	R03611
rxn35629	1.14.21.6	R07215
rxn35630	1.14.21.6	R03310
rxn37520	1.1.1.170	R07494
rxn37890	1.3.1.70	R05639
rxn37933	2.5.1.-|2.5.1.103|2.5.1.21|2.5.1.96	R00702
rxn38374	5.3.3.5	R07484
rxn38375	5.3.3.5	R07484
rxn38674	5.3.3.5	R03353
rxn38675	5.3.3.5	R03353
rxn38677	1.3.1.96|2.5.1.21	R02872
rxn38679	1.14.13.132|1.14.99.7	R02874
rxn38680	5.3.3.5	R04804
rxn38681	5.3.3.5	R04804
rxn38682	1.3.1.21	R01456
rxn39298		R01462
rxn39356		R02692
rxn39409	1.14.13.159	R03611
rxn39813		R07487
