id	ec_numbers	KEGG
rxn00178	2.3.1.9	R00238
rxn00872	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3	R01175
rxn00874	2.3.1.16|2.3.1.9	R01177
rxn00946	1.3.3.6|1.3.8.9|1.3.99.-|1.3.99.13|1.3.99.3	R01279
rxn00947	6.2.1.3	R01280
rxn01247	1.2.1.48	R01704
rxn01409	2.3.1.21	R01923
rxn01451	1.1.1.211|1.1.1.35	R01975
rxn01730	6.2.1.6	R02402
rxn01781	1.1.1.164|1.1.1.192	R02462
rxn01802	1.3.99.7	R02487
rxn02167	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn02345	5.1.2.3	R03276
rxn02679	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03777
rxn02680	2.3.1.16	R03778
rxn02720	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03857
rxn02803	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03990
rxn02804	2.3.1.155|2.3.1.16	R03991
rxn02911	4.2.1.17|4.2.1.74	R04170
rxn03239	1.1.1.211|1.1.1.35	R04737
rxn03240	4.2.1.17|4.2.1.74	R04738
rxn03241	4.2.1.17|4.2.1.74	R04740
rxn03242	1.1.1.211|1.1.1.35	R04741
rxn03243	2.3.1.16	R04742
rxn03244	1.1.1.211|1.1.1.35	R04743
rxn03245	4.2.1.17|4.2.1.74	R04744
rxn03246	1.1.1.211|1.1.1.35	R04745
rxn03247	4.2.1.17|4.2.1.74	R04746
rxn03248	2.3.1.16	R04747
rxn03249	1.1.1.211|1.1.1.35	R04748
rxn03250	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn03251	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3	R04751
rxn03253	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R04754
rxn03254	5.3.3.8	R04756
rxn05871	1.1.1.1|1.1.1.71	R00623
rxn05884	1.1.99.20	R00639
rxn05996	6.2.1.20	R01406
rxn06071	1.18.1.1|1.18.1.3|1.18.1.4	R02000
rxn06072	1.18.1.4	R02002
rxn06148	1.14.15.3	R02281
rxn06510	2.3.1.16	R03858
rxn06596	1.14.14.1	R04121
rxn06777	1.1.1.211|1.1.1.35	R04739
rxn14197	1.14.15.3	R01347
rxn14317	1.14.15.3	R01348
rxn15053	1.2.1.3|1.2.1.5	R00631
rxn15054	1.2.99.3|1.2.99.6|1.2.99.7	R00638
rxn19031	2.3.1.9	R00238
rxn19662	4.2.1.17|4.2.1.74	R04170
rxn19663	4.2.1.17|4.2.1.74	R04746
rxn19664	4.2.1.17|4.2.1.74	R04738
rxn19666	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn19668	4.2.1.17|4.2.1.74	R04744
rxn19669	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn19967	2.3.1.155|2.3.1.16	R03991
rxn19968	2.3.1.16|2.3.1.9	R01177
rxn19970	2.3.1.16	R04742
rxn19974	2.3.1.16	R03858
rxn19976	2.3.1.16	R03778
rxn19977	2.3.1.16	R04747
rxn19979	2.3.1.155|2.3.1.16	R03991
rxn19980	2.3.1.16|2.3.1.9	R01177
rxn19982	2.3.1.16	R04742
rxn19986	2.3.1.16	R03858
rxn19988	2.3.1.16	R03778
rxn19989	2.3.1.16	R04747
rxn20474	1.1.1.211|1.1.1.35	R04737
rxn20475	1.1.1.211|1.1.1.35	R01975
rxn20478	1.1.1.211|1.1.1.35	R04741
rxn20479	1.1.1.211|1.1.1.35	R04745
rxn20480	1.1.1.211|1.1.1.35	R04743
rxn20481	1.1.1.211|1.1.1.35	R04748
rxn27455	1.1.1.211|1.1.1.35	R01975
rxn30370	4.2.1.17|4.2.1.74	R04740
rxn30377	6.2.1.3	R01280
rxn30390	1.1.1.211|1.1.1.35	R04739
rxn31209	2.3.1.9	R00238
rxn31210	2.3.1.9	R00238
rxn31412	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3	R01175
rxn31416	1.3.3.6|1.3.8.9|1.3.99.-|1.3.99.13|1.3.99.3	R01279
rxn31439	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03777
rxn31441	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03857
rxn31444	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R03990
rxn31450	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3	R04751
rxn31451	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3	R04754
rxn31929	6.2.1.3	R01280
rxn31932	6.2.1.3	R01280
rxn33151	1.1.1.164|1.1.1.192	R02462
rxn33593	1.2.1.48	R01704
rxn33600	1.2.1.48	R01704
rxn34630	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn34728	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn34729	4.2.1.17|4.2.1.74	R04746
rxn34730	4.2.1.17|4.2.1.74	R04744
rxn34731	4.2.1.17|4.2.1.74	R04170
rxn34732	4.2.1.17|4.2.1.74	R04740
rxn34733	4.2.1.17|4.2.1.74	R04738
rxn34734	1.1.1.211|1.1.1.35	R04748
rxn34735	1.1.1.211|1.1.1.35	R04745
rxn34736	1.1.1.211|1.1.1.35	R04743
rxn34737	1.1.1.211|1.1.1.35	R04741
rxn34738	1.1.1.211|1.1.1.35	R04739
rxn34739	1.1.1.211|1.1.1.35	R04737
rxn37332	6.2.1.3	R01280
rxn37337	6.2.1.3	R01280
rxn39289		R01347
rxn39290		R01348
rxn39316		R02000
rxn39317		R02002
rxn39445		R04121
